,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
1,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
2,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
3,4.0,2.0,7.0,C1,1089.0,1159.0,70.0,431.0,7.0
4,3.0,1.0,12.0,A2,0.0,1080.0,1080.0,0.0,36.0
5,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
6,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,60.0
7,1.0,3.0,10.0,M2,1760.0,1860.0,100.0,0.0,20.0
8,2.0,1.0,11.0,E1,0.0,880.0,880.0,0.0,66.0
9,4.0,3.0,7.0,B1,1166.0,1236.0,70.0,0.0,7.0
10,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,18.0
11,3.0,2.0,12.0,C1,1159.0,1999.0,840.0,43.0,48.0
12,1.0,4.0,10.0,N1,1880.0,2380.0,500.0,0.0,80.0
13,3.0,3.0,12.0,E2,2047.0,3127.0,1080.0,0.0,24.0
14,3.0,4.0,12.0,G1,3151.0,3991.0,840.0,0.0,48.0
15,5.0,4.0,9.0,P2,1773.0,2313.0,540.0,0.0,18.0
16,2.0,2.0,11.0,D1,946.0,1606.0,660.0,0.0,44.0
17,4.0,4.0,7.0,G1,3991.0,4621.0,630.0,2748.0,14.0
18,2.0,3.0,11.0,M1,1650.0,1760.0,110.0,0.0,22.0
19,2.0,4.0,11.0,P1,1782.0,2332.0,550.0,0.0,55.0
20,2.0,5.0,11.0,Q3,2387.0,2827.0,440.0,0.0,11.0
21,3.0,5.0,12.0,R2,4039.0,4879.0,840.0,0.0,36.0
22,3.0,6.0,12.0,L1,4915.0,5755.0,840.0,0.0,24.0
23,5.0,5.0,9.0,S1,2331.0,2511.0,180.0,0.0,27.0
24,1.0,5.0,10.0,D3,2460.0,3260.0,800.0,0.0,30.0
25,5.0,6.0,9.0,H2,2538.0,2988.0,450.0,0.0,18.0
26,4.0,5.0,7.0,E2,4635.0,5125.0,490.0,0.0,49.0
27,4.0,6.0,7.0,D3,5174.0,5524.0,350.0,0.0,21.0
28,3.0,7.0,12.0,M1,5779.0,6019.0,240.0,0.0,36.0
29,5.0,7.0,9.0,G2,3006.0,3636.0,630.0,0.0,36.0
30,1.0,6.0,10.0,P2,3290.0,4090.0,800.0,0.0,50.0
31,4.0,7.0,7.0,P2,5545.0,6175.0,630.0,0.0,21.0
32,4.0,8.0,7.0,O2,6196.0,6476.0,280.0,0.0,14.0
33,2.0,6.0,11.0,R1,2838.0,3388.0,550.0,0.0,44.0
34,5.0,8.0,9.0,E1,3672.0,4482.0,810.0,0.0,45.0
35,2.0,7.0,11.0,G2,3636.0,4186.0,550.0,204.0,22.0
36,5.0,9.0,9.0,O1,4527.0,5337.0,810.0,0.0,9.0
37,3.0,8.0,12.0,S1,6055.0,6295.0,240.0,0.0,72.0
38,5.0,10.0,9.0,N1,5346.0,5526.0,180.0,0.0,27.0
39,2.0,8.0,11.0,F1,4208.0,5088.0,880.0,0.0,11.0
40,1.0,7.0,10.0,G2,4186.0,4786.0,600.0,46.0,40.0
41,5.0,11.0,9.0,K1,5553.0,5733.0,180.0,0.0,45.0
42,1.0,8.0,10.0,E1,4826.0,5526.0,700.0,0.0,50.0
43,4.0,9.0,7.0,N1,6490.0,7120.0,630.0,0.0,35.0
44,4.0,10.0,7.0,L2,7155.0,7785.0,630.0,0.0,0.0
45,5.0,12.0,9.0,A2,5778.0,6498.0,720.0,0.0,90.0
46,2.0,9.0,11.0,I3,5099.0,5979.0,880.0,0.0,77.0
47,1.0,9.0,10.0,H1,5576.0,6276.0,700.0,0.0,0.0
48,3.0,9.0,12.0,I3,6367.0,6487.0,120.0,0.0,12.0
49,2.0,10.0,11.0,T1,6056.0,6826.0,770.0,0.0,11.0
50,2.0,11.0,11.0,S1,6837.0,7277.0,440.0,0.0,44.0
51,3.0,10.0,12.0,J1,6499.0,7219.0,720.0,0.0,72.0
52,5.0,13.0,9.0,T1,6826.0,6916.0,90.0,238.0,54.0
53,3.0,11.0,12.0,T1,7291.0,8131.0,840.0,0.0,0.0
54,5.0,14.0,9.0,J1,7219.0,7399.0,180.0,249.0,0.0
55,2.0,12.0,11.0,K1,7321.0,7431.0,110.0,0.0,0.0
