,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
1,1.0,1.0,10.0,B1,0.0,600.0,600.0,0.0,50.0
2,3.0,1.0,12.0,A2,0.0,1080.0,1080.0,0.0,36.0
3,4.0,2.0,7.0,C1,154.0,224.0,70.0,0.0,7.0
4,4.0,3.0,7.0,B1,600.0,670.0,70.0,369.0,14.0
5,1.0,2.0,10.0,L2,650.0,850.0,200.0,0.0,60.0
6,5.0,1.0,9.0,B1,670.0,1030.0,360.0,670.0,9.0
7,1.0,3.0,10.0,M3,910.0,1810.0,900.0,0.0,10.0
8,5.0,2.0,9.0,C1,1039.0,1759.0,720.0,0.0,27.0
9,4.0,4.0,7.0,G2,684.0,824.0,140.0,0.0,21.0
10,5.0,3.0,9.0,L1,1786.0,1966.0,180.0,0.0,18.0
11,2.0,1.0,11.0,E1,0.0,880.0,880.0,0.0,88.0
12,2.0,2.0,11.0,D3,968.0,1078.0,110.0,0.0,22.0
13,4.0,5.0,7.0,E2,845.0,1335.0,490.0,0.0,42.0
14,3.0,2.0,12.0,C1,1759.0,2599.0,840.0,643.0,48.0
15,3.0,3.0,12.0,E2,2647.0,3727.0,1080.0,0.0,36.0
16,3.0,4.0,12.0,G2,3763.0,4603.0,840.0,0.0,48.0
17,4.0,6.0,7.0,D2,1377.0,1797.0,420.0,0.0,21.0
18,2.0,3.0,11.0,M1,1100.0,1210.0,110.0,0.0,11.0
19,5.0,4.0,9.0,P1,1984.0,2524.0,540.0,0.0,9.0
20,2.0,4.0,11.0,P2,1221.0,1991.0,770.0,0.0,66.0
21,2.0,5.0,11.0,Q3,2057.0,2497.0,440.0,0.0,22.0
22,2.0,6.0,11.0,R2,2519.0,3399.0,880.0,0.0,44.0
23,2.0,7.0,11.0,G1,3443.0,3993.0,550.0,0.0,11.0
24,2.0,8.0,11.0,F1,4004.0,4884.0,880.0,0.0,22.0
25,5.0,5.0,9.0,S1,2533.0,2713.0,180.0,0.0,36.0
26,5.0,6.0,9.0,H1,2749.0,3199.0,450.0,0.0,18.0
27,1.0,4.0,10.0,N1,1820.0,2320.0,500.0,0.0,70.0
28,3.0,5.0,12.0,R3,4651.0,5251.0,600.0,0.0,36.0
29,5.0,7.0,9.0,G1,3993.0,4623.0,630.0,776.0,18.0
30,3.0,6.0,12.0,L2,5287.0,6127.0,840.0,0.0,12.0
31,1.0,5.0,10.0,D2,2390.0,3090.0,700.0,0.0,40.0
32,2.0,9.0,11.0,I2,4906.0,5346.0,440.0,0.0,88.0
33,3.0,7.0,12.0,M1,6139.0,6379.0,240.0,0.0,36.0
34,2.0,10.0,11.0,T1,5434.0,6204.0,770.0,0.0,11.0
35,1.0,6.0,10.0,P2,3130.0,3930.0,800.0,0.0,60.0
36,5.0,8.0,9.0,E2,4641.0,5361.0,720.0,0.0,36.0
37,5.0,9.0,9.0,O1,5397.0,6207.0,810.0,0.0,9.0
38,4.0,7.0,7.0,P1,2524.0,2664.0,140.0,706.0,14.0
39,5.0,10.0,9.0,N1,6216.0,6396.0,180.0,0.0,27.0
40,5.0,11.0,9.0,K1,6423.0,6603.0,180.0,0.0,45.0
41,3.0,8.0,12.0,S1,6415.0,6655.0,240.0,0.0,72.0
42,4.0,8.0,7.0,O2,2678.0,2958.0,280.0,0.0,14.0
43,5.0,12.0,9.0,A2,6648.0,7368.0,720.0,0.0,90.0
44,4.0,9.0,7.0,N1,6396.0,7026.0,630.0,3424.0,28.0
45,5.0,13.0,9.0,T1,7458.0,7548.0,90.0,0.0,54.0
46,2.0,11.0,11.0,S1,6655.0,7095.0,440.0,440.0,44.0
47,3.0,9.0,12.0,I3,6727.0,6847.0,120.0,0.0,12.0
48,1.0,7.0,10.0,G1,4623.0,5523.0,900.0,633.0,20.0
49,2.0,12.0,11.0,K1,7139.0,7249.0,110.0,0.0,0.0
50,3.0,10.0,12.0,J1,6859.0,7579.0,720.0,0.0,72.0
51,5.0,14.0,9.0,J1,7602.0,7782.0,180.0,0.0,0.0
52,4.0,10.0,7.0,L1,7054.0,7334.0,280.0,0.0,0.0
53,1.0,8.0,10.0,E2,5543.0,5643.0,100.0,0.0,50.0
54,1.0,9.0,10.0,H2,5693.0,6193.0,500.0,0.0,0.0
55,3.0,11.0,12.0,T1,7651.0,8491.0,840.0,0.0,0.0
