,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,3.0,1.0,12.0,A2,0.0,1080.0,1080.0,0.0,36.0
4,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
5,2.0,2.0,11.0,D2,1056.0,1496.0,440.0,0.0,88.0
6,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
7,4.0,2.0,7.0,C1,1089.0,1159.0,70.0,431.0,7.0
8,4.0,3.0,7.0,B1,1166.0,1236.0,70.0,0.0,14.0
9,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,9.0
10,3.0,2.0,12.0,C1,1159.0,1999.0,840.0,43.0,48.0
11,4.0,4.0,7.0,G2,1250.0,1390.0,140.0,0.0,28.0
12,5.0,4.0,9.0,P1,1764.0,2304.0,540.0,0.0,9.0
13,5.0,5.0,9.0,S1,2313.0,2493.0,180.0,0.0,27.0
14,5.0,6.0,9.0,H2,2520.0,2970.0,450.0,0.0,18.0
15,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,50.0
16,4.0,5.0,7.0,E1,1418.0,1908.0,490.0,0.0,42.0
17,3.0,3.0,12.0,E2,2047.0,3127.0,1080.0,0.0,24.0
18,5.0,7.0,9.0,G2,2988.0,3618.0,630.0,0.0,27.0
19,3.0,4.0,12.0,G1,3151.0,3991.0,840.0,0.0,60.0
20,4.0,6.0,7.0,D1,1950.0,2440.0,490.0,0.0,35.0
21,4.0,7.0,7.0,P2,2475.0,3105.0,630.0,0.0,21.0
22,2.0,3.0,11.0,M3,1584.0,2134.0,550.0,0.0,55.0
23,1.0,3.0,10.0,M3,2134.0,3034.0,900.0,384.0,10.0
24,5.0,8.0,9.0,E2,3645.0,4365.0,720.0,0.0,36.0
25,2.0,4.0,11.0,P1,2304.0,2854.0,550.0,115.0,55.0
26,4.0,8.0,7.0,O2,3126.0,3406.0,280.0,0.0,14.0
27,2.0,5.0,11.0,Q3,2909.0,3349.0,440.0,0.0,11.0
28,1.0,4.0,10.0,N1,3044.0,3544.0,500.0,0.0,70.0
29,3.0,5.0,12.0,R3,4051.0,4651.0,600.0,0.0,24.0
30,3.0,6.0,12.0,L1,4675.0,5515.0,840.0,0.0,24.0
31,5.0,9.0,9.0,O1,4401.0,5211.0,810.0,0.0,9.0
32,1.0,5.0,10.0,D2,3614.0,4314.0,700.0,0.0,30.0
33,4.0,9.0,7.0,N1,3544.0,4174.0,630.0,124.0,35.0
34,3.0,7.0,12.0,M1,5539.0,5779.0,240.0,0.0,36.0
35,5.0,10.0,9.0,N1,5220.0,5400.0,180.0,0.0,27.0
36,1.0,6.0,10.0,P1,4344.0,4444.0,100.0,0.0,40.0
37,1.0,7.0,10.0,G2,4484.0,5084.0,600.0,0.0,30.0
38,2.0,6.0,11.0,R1,3360.0,3910.0,550.0,0.0,33.0
39,2.0,7.0,11.0,G1,3991.0,4541.0,550.0,48.0,11.0
40,2.0,8.0,11.0,F1,4552.0,5432.0,880.0,0.0,11.0
41,1.0,8.0,10.0,E2,5114.0,5214.0,100.0,0.0,40.0
42,5.0,11.0,9.0,K1,5427.0,5607.0,180.0,0.0,54.0
43,2.0,9.0,11.0,I3,5443.0,6323.0,880.0,0.0,77.0
44,5.0,12.0,9.0,A1,5661.0,6111.0,450.0,0.0,99.0
45,1.0,9.0,10.0,H1,5254.0,5954.0,700.0,0.0,0.0
46,5.0,13.0,9.0,T1,6210.0,6300.0,90.0,0.0,54.0
47,3.0,8.0,12.0,S1,5815.0,6055.0,240.0,0.0,72.0
48,2.0,10.0,11.0,T1,6400.0,7170.0,770.0,0.0,11.0
49,2.0,11.0,11.0,S1,7181.0,7621.0,440.0,0.0,44.0
50,2.0,12.0,11.0,K1,7665.0,7775.0,110.0,0.0,0.0
51,3.0,9.0,12.0,I3,6323.0,6443.0,120.0,196.0,12.0
52,5.0,14.0,9.0,J1,6354.0,6534.0,180.0,0.0,0.0
53,4.0,10.0,7.0,L2,4209.0,4839.0,630.0,0.0,0.0
54,3.0,10.0,12.0,J1,6534.0,7254.0,720.0,79.0,72.0
55,3.0,11.0,12.0,T1,7326.0,8166.0,840.0,0.0,0.0
