,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
1,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
2,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
3,4.0,2.0,7.0,C1,1089.0,1159.0,70.0,935.0,7.0
4,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,50.0
5,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,18.0
6,2.0,1.0,11.0,E1,0.0,880.0,880.0,0.0,77.0
7,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
8,4.0,3.0,7.0,B1,1166.0,1236.0,70.0,0.0,7.0
9,4.0,4.0,7.0,G1,1243.0,1873.0,630.0,0.0,14.0
10,3.0,2.0,12.0,C1,1159.0,1999.0,840.0,991.0,48.0
11,2.0,2.0,11.0,D2,957.0,1397.0,440.0,0.0,33.0
12,4.0,5.0,7.0,E2,1887.0,2377.0,490.0,0.0,35.0
13,3.0,3.0,12.0,E2,2377.0,3457.0,1080.0,330.0,36.0
14,5.0,4.0,9.0,P2,1773.0,2313.0,540.0,0.0,18.0
15,5.0,5.0,9.0,S1,2331.0,2511.0,180.0,0.0,27.0
16,2.0,3.0,11.0,M1,1430.0,1540.0,110.0,0.0,11.0
17,3.0,4.0,12.0,G2,3493.0,4333.0,840.0,0.0,36.0
18,4.0,6.0,7.0,D1,2412.0,2902.0,490.0,0.0,35.0
19,3.0,5.0,12.0,R2,4369.0,5209.0,840.0,0.0,36.0
20,1.0,2.0,10.0,L2,1755.0,1955.0,200.0,745.0,70.0
21,5.0,6.0,9.0,H2,2538.0,2988.0,450.0,0.0,27.0
22,2.0,4.0,11.0,P2,2313.0,3083.0,770.0,762.0,66.0
23,4.0,7.0,7.0,P2,3083.0,3713.0,630.0,146.0,28.0
24,1.0,3.0,10.0,M2,2025.0,2125.0,100.0,0.0,20.0
25,4.0,8.0,7.0,O1,3741.0,3881.0,140.0,0.0,7.0
26,5.0,7.0,9.0,G1,3015.0,3645.0,630.0,0.0,18.0
27,1.0,4.0,10.0,N1,2145.0,2645.0,500.0,0.0,70.0
28,4.0,9.0,7.0,N1,3888.0,4518.0,630.0,0.0,35.0
29,4.0,10.0,7.0,L2,4553.0,5183.0,630.0,0.0,0.0
30,1.0,5.0,10.0,D2,2715.0,3415.0,700.0,0.0,40.0
31,3.0,6.0,12.0,L1,5245.0,6085.0,840.0,0.0,60.0
32,5.0,8.0,9.0,E2,3663.0,4383.0,720.0,0.0,36.0
33,2.0,5.0,11.0,Q3,3149.0,3589.0,440.0,0.0,33.0
34,2.0,6.0,11.0,R3,3622.0,4172.0,550.0,0.0,44.0
35,1.0,6.0,10.0,P2,3713.0,4513.0,800.0,258.0,60.0
36,3.0,7.0,12.0,M3,6145.0,6625.0,480.0,0.0,72.0
37,1.0,7.0,10.0,G1,4573.0,5473.0,900.0,0.0,30.0
38,5.0,9.0,9.0,O1,4419.0,5229.0,810.0,0.0,9.0
39,5.0,10.0,9.0,N1,5238.0,5418.0,180.0,0.0,27.0
40,5.0,11.0,9.0,K1,5445.0,5625.0,180.0,0.0,36.0
41,2.0,7.0,11.0,G2,4333.0,4883.0,550.0,117.0,22.0
42,5.0,12.0,9.0,A3,5661.0,6111.0,450.0,0.0,81.0
43,2.0,8.0,11.0,F1,4905.0,5785.0,880.0,0.0,11.0
44,2.0,9.0,11.0,I3,5796.0,6676.0,880.0,0.0,77.0
45,5.0,13.0,9.0,T1,6192.0,6282.0,90.0,0.0,54.0
46,2.0,10.0,11.0,T1,6753.0,7523.0,770.0,0.0,11.0
47,3.0,8.0,12.0,S1,6697.0,6937.0,240.0,0.0,96.0
48,5.0,14.0,9.0,J1,6336.0,6516.0,180.0,0.0,0.0
49,2.0,11.0,11.0,S1,7534.0,7974.0,440.0,0.0,44.0
50,2.0,12.0,11.0,K1,8018.0,8128.0,110.0,0.0,0.0
51,3.0,9.0,12.0,I1,7033.0,7993.0,960.0,0.0,36.0
52,3.0,10.0,12.0,J1,8029.0,8749.0,720.0,0.0,72.0
53,3.0,11.0,12.0,T1,8821.0,9661.0,840.0,0.0,0.0
54,1.0,8.0,10.0,E1,5503.0,6203.0,700.0,0.0,50.0
55,1.0,9.0,10.0,H1,6253.0,6953.0,700.0,0.0,0.0
