,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,77.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
3,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
4,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
5,3.0,2.0,12.0,C1,168.0,1008.0,840.0,0.0,48.0
6,4.0,2.0,7.0,C1,1008.0,1078.0,70.0,854.0,7.0
7,4.0,3.0,7.0,B1,1085.0,1155.0,70.0,0.0,14.0
8,4.0,4.0,7.0,G2,1169.0,1309.0,140.0,0.0,28.0
9,5.0,2.0,9.0,C1,1078.0,1798.0,720.0,709.0,36.0
10,4.0,5.0,7.0,E1,1337.0,1827.0,490.0,0.0,56.0
11,2.0,2.0,11.0,D3,1067.0,1177.0,110.0,0.0,22.0
12,2.0,3.0,11.0,M1,1199.0,1309.0,110.0,0.0,11.0
13,3.0,3.0,12.0,E2,1056.0,2136.0,1080.0,0.0,36.0
14,2.0,4.0,11.0,P2,1320.0,2090.0,770.0,0.0,88.0
15,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,50.0
16,5.0,3.0,9.0,L2,1834.0,2464.0,630.0,0.0,18.0
17,2.0,5.0,11.0,Q1,2208.0,2538.0,330.0,30.0,55.0
18,2.0,6.0,11.0,R3,2593.0,3143.0,550.0,0.0,55.0
19,1.0,3.0,10.0,M3,1750.0,2650.0,900.0,0.0,10.0
20,5.0,4.0,9.0,P2,2482.0,3022.0,540.0,0.0,18.0
21,1.0,4.0,10.0,N1,2660.0,3160.0,500.0,0.0,60.0
22,1.0,5.0,10.0,D1,3220.0,3320.0,100.0,0.0,50.0
23,3.0,4.0,12.0,G2,2172.0,3012.0,840.0,0.0,48.0
24,5.0,5.0,9.0,S1,3040.0,3220.0,180.0,0.0,27.0
25,5.0,6.0,9.0,H2,3247.0,3697.0,450.0,0.0,18.0
26,3.0,5.0,12.0,R3,3143.0,3743.0,600.0,83.0,36.0
27,2.0,7.0,11.0,G1,3198.0,3748.0,550.0,0.0,11.0
28,5.0,7.0,9.0,G2,3715.0,4345.0,630.0,0.0,27.0
29,4.0,6.0,7.0,D3,1883.0,2233.0,350.0,0.0,28.0
30,1.0,6.0,10.0,P2,3370.0,4170.0,800.0,0.0,60.0
31,4.0,7.0,7.0,P1,2261.0,2401.0,140.0,0.0,7.0
32,4.0,8.0,7.0,O3,2408.0,2968.0,560.0,0.0,21.0
33,5.0,8.0,9.0,E2,4372.0,5092.0,720.0,0.0,36.0
34,1.0,7.0,10.0,G1,4230.0,5130.0,900.0,0.0,20.0
35,2.0,8.0,11.0,F1,3759.0,4639.0,880.0,0.0,22.0
36,5.0,9.0,9.0,O1,5128.0,5938.0,810.0,0.0,9.0
37,4.0,9.0,7.0,N1,3160.0,3820.0,660.0,201.0,28.0
38,5.0,10.0,9.0,N1,5947.0,6127.0,180.0,0.0,27.0
39,3.0,6.0,12.0,L2,3779.0,4619.0,840.0,0.0,12.0
40,5.0,11.0,9.0,K1,6154.0,6334.0,180.0,0.0,54.0
41,1.0,8.0,10.0,E2,5150.0,5250.0,100.0,0.0,60.0
42,5.0,12.0,9.0,A1,6388.0,6838.0,450.0,0.0,99.0
43,2.0,9.0,11.0,I2,4661.0,5101.0,440.0,0.0,88.0
44,4.0,10.0,7.0,L1,3848.0,4128.0,280.0,0.0,0.0
45,1.0,9.0,10.0,H3,5310.0,5610.0,300.0,0.0,0.0
46,2.0,10.0,11.0,T1,5189.0,5959.0,770.0,0.0,11.0
47,3.0,7.0,12.0,M1,4631.0,4871.0,240.0,0.0,36.0
48,3.0,8.0,12.0,S1,4907.0,5147.0,240.0,0.0,96.0
49,3.0,9.0,12.0,I1,5243.0,6203.0,960.0,0.0,36.0
50,2.0,11.0,11.0,S1,5970.0,6410.0,440.0,0.0,44.0
51,3.0,10.0,12.0,J1,6239.0,6959.0,720.0,0.0,72.0
52,5.0,13.0,9.0,T1,6937.0,7027.0,90.0,0.0,54.0
53,2.0,12.0,11.0,K1,6454.0,6564.0,110.0,0.0,0.0
54,5.0,14.0,9.0,J1,7081.0,7261.0,180.0,0.0,0.0
55,3.0,11.0,12.0,T1,7031.0,7871.0,840.0,0.0,0.0
