,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,3.0,1.0,12.0,A3,0.0,960.0,960.0,0.0,24.0
1,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
2,4.0,2.0,7.0,C1,1089.0,1159.0,70.0,438.0,7.0
3,3.0,2.0,12.0,C1,1159.0,1999.0,840.0,175.0,60.0
4,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,21.0
5,4.0,3.0,7.0,B1,1280.0,1350.0,70.0,114.0,14.0
6,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,18.0
7,2.0,2.0,11.0,D2,1056.0,1496.0,440.0,0.0,99.0
8,7.0,2.0,7.0,D2,1496.0,2126.0,630.0,195.0,42.0
9,2.0,3.0,11.0,M2,1595.0,2365.0,770.0,0.0,77.0
10,5.0,4.0,9.0,P2,1773.0,2313.0,540.0,0.0,18.0
11,3.0,3.0,12.0,E1,2059.0,2779.0,720.0,0.0,36.0
12,4.0,4.0,7.0,G2,1394.0,1534.0,140.0,30.0,28.0
13,3.0,4.0,12.0,G1,2815.0,3655.0,840.0,0.0,36.0
14,3.0,5.0,12.0,R1,3691.0,4531.0,840.0,0.0,60.0
15,6.0,1.0,6.0,D1,1000.0,1300.0,300.0,0.0,12.0
16,5.0,5.0,9.0,S1,2331.0,2511.0,180.0,0.0,36.0
17,8.0,1.0,8.0,C1,1999.0,2719.0,720.0,999.0,8.0
18,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,50.0
19,4.0,5.0,7.0,E1,2779.0,3269.0,490.0,1217.0,49.0
20,8.0,2.0,8.0,B1,2727.0,3207.0,480.0,0.0,32.0
21,8.0,3.0,8.0,D3,3239.0,3959.0,720.0,0.0,48.0
22,3.0,6.0,12.0,L2,4591.0,5431.0,840.0,0.0,84.0
23,1.0,3.0,10.0,M3,1750.0,2650.0,900.0,0.0,10.0
24,6.0,2.0,6.0,G2,1534.0,1714.0,180.0,222.0,36.0
25,1.0,4.0,10.0,N1,2660.0,3160.0,500.0,0.0,70.0
26,7.0,3.0,7.0,E2,2168.0,2728.0,560.0,0.0,14.0
27,3.0,7.0,12.0,M2,5515.0,6355.0,840.0,0.0,84.0
28,2.0,4.0,11.0,P2,2442.0,3212.0,770.0,0.0,88.0
29,5.0,6.0,9.0,H1,2547.0,2997.0,450.0,0.0,18.0
30,6.0,3.0,6.0,Q2,1750.0,2290.0,540.0,0.0,36.0
31,4.0,6.0,7.0,D2,3318.0,3738.0,420.0,0.0,28.0
32,7.0,4.0,7.0,G1,3655.0,4075.0,420.0,913.0,28.0
33,2.0,5.0,11.0,Q1,3300.0,3630.0,330.0,0.0,55.0
34,6.0,4.0,6.0,T1,2326.0,2566.0,240.0,0.0,18.0
35,6.0,5.0,6.0,L2,5431.0,5791.0,360.0,2847.0,18.0
36,2.0,6.0,11.0,R3,3685.0,4235.0,550.0,0.0,55.0
37,7.0,5.0,7.0,I1,4103.0,4663.0,560.0,0.0,21.0
38,3.0,8.0,12.0,S1,6439.0,6679.0,240.0,0.0,84.0
39,4.0,7.0,7.0,P2,3766.0,4396.0,630.0,0.0,28.0
40,2.0,7.0,11.0,G1,4290.0,4840.0,550.0,0.0,11.0
41,6.0,6.0,6.0,O2,5809.0,6049.0,240.0,0.0,24.0
42,7.0,6.0,7.0,J1,4684.0,4894.0,210.0,0.0,21.0
43,8.0,4.0,8.0,A2,4007.0,4087.0,80.0,0.0,16.0
44,5.0,7.0,9.0,G1,4840.0,5470.0,630.0,1825.0,18.0
45,6.0,7.0,6.0,I2,6073.0,6133.0,60.0,0.0,12.0
46,5.0,8.0,9.0,E2,5488.0,6208.0,720.0,0.0,45.0
47,7.0,7.0,7.0,L2,5791.0,6141.0,350.0,876.0,14.0
48,4.0,8.0,7.0,O1,4424.0,4564.0,140.0,0.0,7.0
49,1.0,5.0,10.0,D2,3738.0,4438.0,700.0,508.0,30.0
50,1.0,6.0,10.0,P1,4468.0,4568.0,100.0,0.0,40.0
51,6.0,8.0,6.0,A2,6145.0,6505.0,360.0,0.0,48.0
52,2.0,8.0,11.0,F1,4851.0,5731.0,880.0,0.0,11.0
53,7.0,8.0,7.0,K1,6155.0,6715.0,560.0,0.0,7.0
54,2.0,9.0,11.0,I3,5742.0,6622.0,880.0,0.0,77.0
55,8.0,5.0,8.0,E1,4103.0,4503.0,400.0,0.0,56.0
56,5.0,9.0,9.0,O2,6253.0,7063.0,810.0,0.0,18.0
57,3.0,9.0,12.0,I2,6763.0,7483.0,720.0,0.0,24.0
58,2.0,10.0,11.0,T1,6699.0,7469.0,770.0,0.0,11.0
59,8.0,6.0,8.0,H3,4559.0,4799.0,240.0,0.0,64.0
60,1.0,7.0,10.0,G2,4608.0,5208.0,600.0,0.0,30.0
61,4.0,9.0,7.0,N1,4571.0,5201.0,630.0,0.0,28.0
62,4.0,10.0,7.0,L1,5229.0,5509.0,280.0,0.0,0.0
63,1.0,8.0,10.0,E2,6208.0,6308.0,100.0,970.0,40.0
64,8.0,7.0,8.0,I1,4863.0,5103.0,240.0,0.0,24.0
65,8.0,8.0,8.0,F1,5731.0,6291.0,560.0,604.0,32.0
66,3.0,10.0,12.0,J1,7507.0,8227.0,720.0,0.0,72.0
67,5.0,10.0,9.0,N1,7081.0,7261.0,180.0,0.0,27.0
68,5.0,11.0,9.0,K1,7288.0,7468.0,180.0,0.0,54.0
69,7.0,9.0,7.0,O2,7063.0,7273.0,210.0,341.0,21.0
70,5.0,12.0,9.0,A1,7522.0,7972.0,450.0,0.0,99.0
71,7.0,10.0,7.0,P2,7294.0,7504.0,210.0,0.0,21.0
72,5.0,13.0,9.0,T1,8071.0,8161.0,90.0,0.0,54.0
73,6.0,9.0,6.0,M1,6553.0,6733.0,180.0,0.0,36.0
74,8.0,9.0,8.0,R1,6323.0,6963.0,640.0,0.0,16.0
75,2.0,11.0,11.0,S1,7480.0,7920.0,440.0,0.0,44.0
76,7.0,11.0,7.0,R3,7525.0,7945.0,420.0,0.0,7.0
77,3.0,11.0,12.0,T1,8299.0,9139.0,840.0,0.0,0.0
78,8.0,10.0,8.0,O2,7273.0,7673.0,400.0,294.0,16.0
79,5.0,14.0,9.0,J1,8227.0,8407.0,180.0,12.0,0.0
80,8.0,11.0,8.0,N1,7689.0,8009.0,320.0,0.0,16.0
81,7.0,12.0,7.0,S1,7952.0,8582.0,630.0,0.0,7.0
82,8.0,12.0,8.0,M2,8025.0,8585.0,560.0,0.0,48.0
83,6.0,10.0,6.0,F1,6769.0,7249.0,480.0,0.0,0.0
84,7.0,13.0,7.0,T1,9139.0,9699.0,560.0,550.0,0.0
85,2.0,12.0,11.0,K1,7964.0,8074.0,110.0,0.0,0.0
86,8.0,13.0,8.0,P1,8633.0,8953.0,320.0,0.0,16.0
87,8.0,14.0,8.0,T1,9699.0,9779.0,80.0,730.0,0.0
88,1.0,9.0,10.0,H1,6348.0,7048.0,700.0,0.0,0.0
