,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
1,3.0,2.0,12.0,C1,168.0,1008.0,840.0,0.0,60.0
2,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,28.0
3,8.0,1.0,8.0,C1,1008.0,1728.0,720.0,8.0,8.0
4,6.0,1.0,6.0,D1,1000.0,1300.0,300.0,0.0,18.0
5,7.0,2.0,7.0,D3,1308.0,1518.0,210.0,0.0,49.0
6,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,70.0
7,6.0,2.0,6.0,G1,1318.0,1498.0,180.0,0.0,30.0
8,6.0,3.0,6.0,Q2,1528.0,2068.0,540.0,0.0,36.0
9,8.0,2.0,8.0,B1,1736.0,2216.0,480.0,0.0,16.0
10,7.0,3.0,7.0,E2,1567.0,2127.0,560.0,0.0,21.0
11,3.0,3.0,12.0,E1,1068.0,1788.0,720.0,0.0,48.0
12,3.0,4.0,12.0,G2,1836.0,2676.0,840.0,0.0,48.0
13,8.0,3.0,8.0,D1,2232.0,2712.0,480.0,0.0,32.0
14,2.0,2.0,11.0,D2,1056.0,1496.0,440.0,0.0,88.0
15,6.0,4.0,6.0,T1,2104.0,2344.0,240.0,0.0,18.0
16,7.0,4.0,7.0,G2,2676.0,2886.0,210.0,528.0,35.0
17,3.0,5.0,12.0,R3,2724.0,3324.0,600.0,0.0,24.0
18,6.0,5.0,6.0,L2,2362.0,2722.0,360.0,0.0,24.0
19,1.0,3.0,10.0,M2,1310.0,1410.0,100.0,30.0,20.0
20,8.0,4.0,8.0,A2,2744.0,2824.0,80.0,0.0,16.0
21,8.0,5.0,8.0,E1,2840.0,3240.0,400.0,0.0,48.0
22,6.0,6.0,6.0,O1,2746.0,3106.0,360.0,0.0,12.0
23,4.0,2.0,7.0,C1,1728.0,1798.0,70.0,1077.0,7.0
24,4.0,3.0,7.0,B1,2216.0,2286.0,70.0,411.0,14.0
25,5.0,2.0,9.0,C1,1798.0,2518.0,720.0,1429.0,36.0
26,6.0,7.0,6.0,I3,3118.0,3418.0,300.0,0.0,24.0
27,7.0,5.0,7.0,I1,2921.0,3481.0,560.0,0.0,21.0
28,1.0,4.0,10.0,N1,1430.0,1930.0,500.0,0.0,80.0
29,5.0,3.0,9.0,L2,2722.0,3352.0,630.0,168.0,18.0
30,7.0,6.0,7.0,J1,3502.0,3712.0,210.0,0.0,14.0
31,7.0,7.0,7.0,L1,3726.0,4356.0,630.0,0.0,7.0
32,2.0,3.0,11.0,M3,1584.0,2134.0,550.0,0.0,55.0
33,6.0,8.0,6.0,A1,3442.0,3502.0,60.0,0.0,54.0
34,6.0,9.0,6.0,M1,3556.0,3736.0,180.0,0.0,36.0
35,5.0,4.0,9.0,P2,3370.0,3910.0,540.0,0.0,18.0
36,2.0,4.0,11.0,P1,2189.0,2739.0,550.0,0.0,66.0
37,5.0,5.0,9.0,S1,3928.0,4108.0,180.0,0.0,36.0
38,3.0,6.0,12.0,L1,4356.0,5196.0,840.0,1008.0,60.0
39,1.0,5.0,10.0,D3,2010.0,2810.0,800.0,0.0,40.0
40,8.0,6.0,8.0,H2,3288.0,3928.0,640.0,0.0,40.0
41,8.0,7.0,8.0,I3,3968.0,4528.0,560.0,0.0,8.0
42,3.0,7.0,12.0,M3,5256.0,5736.0,480.0,0.0,72.0
43,2.0,5.0,11.0,Q2,2805.0,3465.0,660.0,0.0,44.0
44,5.0,6.0,9.0,H3,4144.0,4324.0,180.0,0.0,36.0
45,4.0,4.0,7.0,G2,2886.0,3026.0,140.0,586.0,28.0
46,5.0,7.0,9.0,G1,4360.0,4990.0,630.0,0.0,18.0
47,7.0,8.0,7.0,K1,4363.0,4923.0,560.0,0.0,7.0
48,4.0,5.0,7.0,E1,3240.0,3730.0,490.0,186.0,49.0
49,4.0,6.0,7.0,D2,3779.0,4199.0,420.0,0.0,28.0
50,2.0,6.0,11.0,R3,3509.0,4059.0,550.0,0.0,55.0
51,7.0,9.0,7.0,O2,4930.0,5140.0,210.0,0.0,14.0
52,6.0,10.0,6.0,F1,3772.0,4252.0,480.0,0.0,0.0
53,1.0,6.0,10.0,P1,2850.0,2950.0,100.0,0.0,40.0
54,1.0,7.0,10.0,G2,3026.0,3626.0,600.0,36.0,40.0
55,2.0,7.0,11.0,G1,4990.0,5570.0,580.0,906.0,11.0
56,7.0,10.0,7.0,P1,5154.0,5434.0,280.0,0.0,21.0
57,7.0,11.0,7.0,R2,5455.0,5525.0,70.0,0.0,14.0
58,7.0,12.0,7.0,S1,5539.0,6169.0,630.0,0.0,7.0
59,3.0,8.0,12.0,S1,6169.0,6409.0,240.0,361.0,96.0
60,8.0,8.0,8.0,F1,4536.0,5096.0,560.0,0.0,40.0
61,4.0,7.0,7.0,P2,4227.0,4857.0,630.0,0.0,21.0
62,5.0,8.0,9.0,E2,5008.0,5728.0,720.0,0.0,45.0
63,5.0,9.0,9.0,O2,5773.0,6583.0,810.0,0.0,18.0
64,7.0,13.0,7.0,T1,6176.0,6736.0,560.0,0.0,0.0
65,5.0,10.0,9.0,N1,6601.0,6781.0,180.0,0.0,27.0
66,2.0,8.0,11.0,F1,5581.0,6461.0,880.0,0.0,22.0
67,1.0,8.0,10.0,E1,3730.0,4430.0,700.0,64.0,50.0
68,8.0,9.0,8.0,R2,5525.0,6165.0,640.0,389.0,8.0
69,3.0,9.0,12.0,I1,6505.0,7465.0,960.0,0.0,36.0
70,5.0,11.0,9.0,K1,6808.0,6988.0,180.0,0.0,54.0
71,5.0,12.0,9.0,A1,7042.0,7492.0,450.0,0.0,99.0
72,8.0,10.0,8.0,O2,6583.0,6983.0,400.0,410.0,16.0
73,5.0,13.0,9.0,T1,7591.0,7681.0,90.0,0.0,54.0
74,1.0,9.0,10.0,H1,4480.0,5180.0,700.0,0.0,0.0
75,5.0,14.0,9.0,J1,7735.0,7915.0,180.0,0.0,0.0
76,8.0,11.0,8.0,N1,6999.0,7319.0,320.0,0.0,48.0
77,8.0,12.0,8.0,M1,7367.0,7607.0,240.0,0.0,8.0
78,2.0,9.0,11.0,I2,6483.0,6923.0,440.0,0.0,88.0
79,2.0,10.0,11.0,T1,7681.0,8451.0,770.0,670.0,11.0
80,2.0,11.0,11.0,S1,8462.0,8902.0,440.0,0.0,44.0
81,3.0,10.0,12.0,J1,7915.0,8635.0,720.0,414.0,72.0
82,2.0,12.0,11.0,K1,8946.0,9056.0,110.0,0.0,0.0
83,3.0,11.0,12.0,T1,8707.0,9547.0,840.0,0.0,0.0
84,8.0,13.0,8.0,P2,7615.0,7695.0,80.0,0.0,8.0
85,4.0,8.0,7.0,O2,6983.0,7263.0,280.0,2105.0,14.0
86,4.0,9.0,7.0,N1,7319.0,7949.0,630.0,42.0,28.0
87,4.0,10.0,7.0,L1,7977.0,8257.0,280.0,0.0,0.0
88,8.0,14.0,8.0,T1,9547.0,9627.0,80.0,1844.0,0.0
