,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,77.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
3,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
4,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
0,6.0,1.0,6.0,D3,1000.0,1420.0,420.0,0.0,24.0
1,3.0,2.0,12.0,C1,156.0,996.0,840.0,0.0,60.0
2,2.0,2.0,11.0,D2,1067.0,1507.0,440.0,0.0,33.0
3,4.0,2.0,7.0,C1,996.0,1066.0,70.0,842.0,7.0
4,2.0,3.0,11.0,M1,1540.0,1650.0,110.0,0.0,22.0
5,6.0,2.0,6.0,G2,1444.0,1624.0,180.0,0.0,36.0
6,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,14.0
7,8.0,1.0,8.0,C1,1066.0,1786.0,720.0,66.0,8.0
8,3.0,3.0,12.0,E1,1056.0,1776.0,720.0,0.0,36.0
9,7.0,2.0,7.0,D1,1294.0,1854.0,560.0,0.0,42.0
10,8.0,2.0,8.0,B1,1794.0,2274.0,480.0,0.0,16.0
11,8.0,3.0,8.0,D1,2290.0,2770.0,480.0,0.0,32.0
12,5.0,2.0,9.0,C1,1786.0,2506.0,720.0,1417.0,36.0
13,3.0,4.0,12.0,G1,1812.0,2652.0,840.0,0.0,48.0
14,7.0,3.0,7.0,E1,1896.0,2246.0,350.0,0.0,21.0
15,2.0,4.0,11.0,P1,1672.0,2222.0,550.0,0.0,77.0
16,8.0,4.0,8.0,A2,2802.0,2882.0,80.0,0.0,16.0
17,2.0,5.0,11.0,Q1,2299.0,2629.0,330.0,0.0,33.0
18,5.0,3.0,9.0,L2,2542.0,3172.0,630.0,0.0,9.0
19,4.0,3.0,7.0,B1,1073.0,1143.0,70.0,0.0,14.0
20,5.0,4.0,9.0,P1,3181.0,3721.0,540.0,0.0,9.0
21,5.0,5.0,9.0,S1,3730.0,3910.0,180.0,0.0,36.0
22,6.0,3.0,6.0,Q2,1660.0,2200.0,540.0,0.0,36.0
23,8.0,5.0,8.0,E1,2898.0,3298.0,400.0,0.0,40.0
24,2.0,6.0,11.0,R1,2662.0,3212.0,550.0,0.0,44.0
25,6.0,4.0,6.0,T1,2236.0,2476.0,240.0,0.0,18.0
26,7.0,4.0,7.0,G1,2652.0,3072.0,420.0,385.0,14.0
27,1.0,2.0,10.0,L2,3172.0,3372.0,200.0,2162.0,10.0
28,2.0,7.0,11.0,G2,3256.0,3806.0,550.0,0.0,22.0
29,6.0,5.0,6.0,L2,3372.0,3732.0,360.0,878.0,24.0
30,7.0,5.0,7.0,I3,3086.0,3366.0,280.0,0.0,7.0
31,7.0,6.0,7.0,J1,3373.0,3583.0,210.0,0.0,21.0
32,6.0,6.0,6.0,O1,3756.0,4116.0,360.0,0.0,24.0
33,3.0,5.0,12.0,R2,2700.0,3540.0,840.0,0.0,36.0
34,7.0,7.0,7.0,L2,3732.0,4082.0,350.0,128.0,14.0
