,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
1,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,28.0
2,3.0,2.0,12.0,C1,168.0,1008.0,840.0,0.0,60.0
3,3.0,3.0,12.0,E1,1068.0,1788.0,720.0,0.0,48.0
4,3.0,4.0,12.0,G2,1836.0,2676.0,840.0,0.0,36.0
5,3.0,5.0,12.0,R2,2712.0,3552.0,840.0,0.0,48.0
6,8.0,1.0,8.0,C1,1008.0,1728.0,720.0,8.0,8.0
7,8.0,2.0,8.0,B1,1736.0,2216.0,480.0,0.0,32.0
8,7.0,2.0,7.0,D3,1308.0,1518.0,210.0,0.0,56.0
9,5.0,2.0,9.0,C1,1728.0,2448.0,720.0,1359.0,27.0
10,7.0,3.0,7.0,E1,1574.0,1924.0,350.0,0.0,28.0
11,6.0,1.0,6.0,D1,1000.0,1300.0,300.0,0.0,18.0
12,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,60.0
13,2.0,2.0,11.0,D3,1518.0,1628.0,110.0,440.0,22.0
14,6.0,2.0,6.0,G1,1318.0,1498.0,180.0,0.0,36.0
15,2.0,3.0,11.0,M1,1650.0,1760.0,110.0,0.0,11.0
16,8.0,3.0,8.0,D3,2248.0,2968.0,720.0,0.0,48.0
17,7.0,4.0,7.0,G2,2676.0,2886.0,210.0,724.0,21.0
18,8.0,4.0,8.0,A2,3016.0,3096.0,80.0,0.0,16.0
19,2.0,4.0,11.0,P2,1771.0,2541.0,770.0,0.0,77.0
20,4.0,2.0,7.0,C1,2448.0,2518.0,70.0,1797.0,7.0
21,1.0,3.0,10.0,M3,1270.0,2170.0,900.0,0.0,10.0
22,2.0,5.0,11.0,Q2,2618.0,3278.0,660.0,0.0,44.0
23,2.0,6.0,11.0,R3,3322.0,3872.0,550.0,0.0,44.0
24,3.0,6.0,12.0,L2,3600.0,4440.0,840.0,0.0,72.0
25,8.0,5.0,8.0,E1,3112.0,3512.0,400.0,0.0,40.0
26,6.0,3.0,6.0,Q1,1564.0,1624.0,60.0,30.0,42.0
27,2.0,7.0,11.0,G2,3916.0,4466.0,550.0,0.0,22.0
28,3.0,7.0,12.0,M3,4512.0,4992.0,480.0,0.0,72.0
29,7.0,5.0,7.0,I3,2907.0,3187.0,280.0,0.0,7.0
30,8.0,6.0,8.0,H1,3552.0,3792.0,240.0,0.0,48.0
31,4.0,3.0,7.0,B1,2525.0,2595.0,70.0,0.0,7.0
32,7.0,6.0,7.0,J1,3194.0,3404.0,210.0,0.0,14.0
33,5.0,3.0,9.0,L1,2475.0,2655.0,180.0,0.0,27.0
34,2.0,8.0,11.0,F1,4488.0,5368.0,880.0,0.0,11.0
35,7.0,7.0,7.0,L1,3418.0,4048.0,630.0,0.0,7.0
36,5.0,4.0,9.0,P2,2682.0,3222.0,540.0,0.0,18.0
37,1.0,4.0,10.0,N1,2180.0,2680.0,500.0,0.0,70.0
38,1.0,5.0,10.0,D2,2750.0,3450.0,700.0,0.0,40.0
39,5.0,5.0,9.0,S1,3240.0,3420.0,180.0,0.0,27.0
40,4.0,4.0,7.0,G1,2602.0,3232.0,630.0,0.0,21.0
41,4.0,5.0,7.0,E1,3512.0,4002.0,490.0,259.0,49.0
42,6.0,4.0,6.0,T1,1666.0,1906.0,240.0,0.0,18.0
43,2.0,9.0,11.0,I3,5379.0,6259.0,880.0,0.0,77.0
44,8.0,7.0,8.0,I1,3840.0,4080.0,240.0,0.0,24.0
45,4.0,6.0,7.0,D2,4051.0,4471.0,420.0,0.0,21.0
46,6.0,5.0,6.0,L2,4440.0,4800.0,360.0,2516.0,24.0
47,7.0,8.0,7.0,K1,4055.0,4615.0,560.0,0.0,7.0
48,2.0,10.0,11.0,T1,6336.0,7106.0,770.0,0.0,11.0
49,7.0,9.0,7.0,O2,4622.0,4832.0,210.0,0.0,14.0
50,5.0,6.0,9.0,H2,3447.0,3897.0,450.0,0.0,27.0
51,8.0,8.0,8.0,F1,5368.0,5928.0,560.0,1264.0,40.0
52,3.0,8.0,12.0,S1,5064.0,5304.0,240.0,0.0,96.0
53,6.0,6.0,6.0,O1,4824.0,5184.0,360.0,0.0,12.0
54,5.0,7.0,9.0,G1,3924.0,4554.0,630.0,0.0,27.0
55,4.0,7.0,7.0,P1,4492.0,4632.0,140.0,0.0,14.0
56,3.0,9.0,12.0,I1,5400.0,6360.0,960.0,0.0,36.0
57,5.0,8.0,9.0,E1,4581.0,5391.0,810.0,0.0,54.0
58,7.0,10.0,7.0,P1,4846.0,5126.0,280.0,0.0,28.0
59,6.0,7.0,6.0,I3,6259.0,6559.0,300.0,1063.0,12.0
60,4.0,8.0,7.0,O2,4832.0,5112.0,280.0,186.0,14.0
61,3.0,10.0,12.0,J1,6396.0,7116.0,720.0,0.0,72.0
62,5.0,9.0,9.0,O2,5445.0,6255.0,810.0,0.0,18.0
63,8.0,9.0,8.0,R2,5968.0,6608.0,640.0,0.0,16.0
64,6.0,8.0,6.0,A3,6571.0,6931.0,360.0,0.0,24.0
65,3.0,11.0,12.0,T1,7188.0,8028.0,840.0,0.0,0.0
66,8.0,10.0,8.0,O3,6624.0,6704.0,80.0,0.0,24.0
67,6.0,9.0,6.0,M3,6955.0,7195.0,240.0,0.0,18.0
68,4.0,9.0,7.0,N1,5126.0,5756.0,630.0,0.0,28.0
69,7.0,11.0,7.0,R1,5154.0,5644.0,490.0,0.0,21.0
70,5.0,10.0,9.0,N1,6273.0,6453.0,180.0,0.0,27.0
71,2.0,11.0,11.0,S1,7117.0,7557.0,440.0,0.0,44.0
72,2.0,12.0,11.0,K1,7601.0,7711.0,110.0,0.0,0.0
73,5.0,11.0,9.0,K1,7711.0,7891.0,180.0,1231.0,36.0
74,8.0,11.0,8.0,N1,6728.0,7048.0,320.0,0.0,8.0
75,5.0,12.0,9.0,A3,7927.0,8377.0,450.0,0.0,81.0
76,7.0,12.0,7.0,S1,7557.0,8187.0,630.0,1892.0,7.0
77,8.0,12.0,8.0,M3,7195.0,7435.0,240.0,139.0,40.0
78,7.0,13.0,7.0,T1,8194.0,8754.0,560.0,0.0,0.0
79,5.0,13.0,9.0,T1,8754.0,8844.0,90.0,296.0,54.0
80,5.0,14.0,9.0,J1,8898.0,9078.0,180.0,0.0,0.0
81,4.0,10.0,7.0,L1,5784.0,6064.0,280.0,0.0,0.0
82,1.0,6.0,10.0,P2,3490.0,4290.0,800.0,0.0,50.0
83,1.0,7.0,10.0,G2,4466.0,5066.0,600.0,126.0,40.0
84,6.0,10.0,6.0,F1,7243.0,7723.0,480.0,30.0,0.0
85,8.0,13.0,8.0,P1,7475.0,7795.0,320.0,0.0,16.0
86,8.0,14.0,8.0,T1,8844.0,8924.0,80.0,1033.0,0.0
87,1.0,8.0,10.0,E1,5391.0,6091.0,700.0,285.0,70.0
88,1.0,9.0,10.0,H3,6161.0,6461.0,300.0,0.0,0.0
