,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,77.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
3,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
4,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,21.0
1,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,10.0
2,6.0,1.0,6.0,D1,1000.0,1300.0,300.0,0.0,18.0
3,1.0,3.0,10.0,M1,1220.0,1420.0,200.0,0.0,60.0
4,6.0,2.0,6.0,G1,1318.0,1498.0,180.0,0.0,24.0
5,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
6,3.0,2.0,12.0,C1,1089.0,1929.0,840.0,921.0,60.0
7,7.0,2.0,7.0,D2,1301.0,1931.0,630.0,0.0,42.0
8,7.0,3.0,7.0,E2,1973.0,2533.0,560.0,0.0,21.0
9,1.0,4.0,10.0,N1,1480.0,1980.0,500.0,0.0,80.0
10,7.0,4.0,7.0,G2,2554.0,2764.0,210.0,0.0,35.0
11,3.0,3.0,12.0,E1,1989.0,2709.0,720.0,0.0,36.0
12,2.0,2.0,11.0,D3,1078.0,1188.0,110.0,0.0,110.0
13,8.0,1.0,8.0,C1,1929.0,2649.0,720.0,929.0,8.0
14,7.0,5.0,7.0,I1,2799.0,3359.0,560.0,0.0,21.0
15,4.0,2.0,7.0,C1,2649.0,2719.0,70.0,2481.0,7.0
16,5.0,3.0,9.0,L2,1210.0,1840.0,630.0,85.0,9.0
17,7.0,6.0,7.0,J1,3380.0,3590.0,210.0,0.0,21.0
18,2.0,3.0,11.0,M2,1298.0,2068.0,770.0,0.0,77.0
19,5.0,4.0,9.0,P1,1849.0,2389.0,540.0,0.0,9.0
20,6.0,3.0,6.0,Q3,1522.0,2062.0,540.0,0.0,30.0
21,5.0,5.0,9.0,S1,2398.0,2578.0,180.0,0.0,36.0
22,7.0,7.0,7.0,L2,3611.0,3961.0,350.0,0.0,14.0
23,7.0,8.0,7.0,K1,3975.0,4535.0,560.0,0.0,14.0
24,4.0,3.0,7.0,B1,2726.0,2796.0,70.0,0.0,7.0
25,5.0,6.0,9.0,H1,2614.0,3064.0,450.0,0.0,18.0
26,7.0,9.0,7.0,O1,4549.0,4619.0,70.0,0.0,21.0
27,1.0,5.0,10.0,D3,2060.0,2860.0,800.0,0.0,40.0
28,4.0,4.0,7.0,G1,2803.0,3433.0,630.0,0.0,14.0
29,8.0,2.0,8.0,B1,2796.0,3276.0,480.0,139.0,16.0
30,4.0,5.0,7.0,E2,3447.0,3937.0,490.0,0.0,42.0
31,4.0,6.0,7.0,D2,3979.0,4399.0,420.0,0.0,28.0
32,6.0,4.0,6.0,T1,2092.0,2332.0,240.0,0.0,18.0
33,5.0,7.0,9.0,G1,3433.0,4063.0,630.0,351.0,18.0
34,1.0,6.0,10.0,P1,2900.0,3000.0,100.0,0.0,40.0
