,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,77.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
3,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
4,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,21.0
1,4.0,2.0,7.0,C1,161.0,231.0,70.0,0.0,7.0
2,7.0,2.0,7.0,D2,1301.0,1931.0,630.0,0.0,42.0
3,2.0,2.0,11.0,D3,1078.0,1188.0,110.0,0.0,22.0
4,3.0,2.0,12.0,C1,231.0,1071.0,840.0,75.0,60.0
5,3.0,3.0,12.0,E1,1131.0,1851.0,720.0,0.0,48.0
6,8.0,1.0,8.0,C1,1071.0,1791.0,720.0,71.0,8.0
7,7.0,3.0,7.0,E2,1973.0,2533.0,560.0,0.0,21.0
8,7.0,4.0,7.0,G2,2554.0,2764.0,210.0,0.0,28.0
9,8.0,2.0,8.0,B1,1799.0,2279.0,480.0,0.0,24.0
10,4.0,3.0,7.0,B1,2279.0,2349.0,70.0,2041.0,7.0
11,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,70.0
12,7.0,5.0,7.0,I2,2792.0,2862.0,70.0,0.0,14.0
13,3.0,4.0,12.0,G2,2764.0,3604.0,840.0,865.0,48.0
14,3.0,5.0,12.0,R1,3652.0,4492.0,840.0,0.0,48.0
15,7.0,6.0,7.0,J1,2876.0,3086.0,210.0,0.0,21.0
16,7.0,7.0,7.0,L2,3107.0,3457.0,350.0,0.0,14.0
17,2.0,3.0,11.0,M1,1210.0,1320.0,110.0,0.0,22.0
18,5.0,2.0,9.0,C1,1791.0,2511.0,720.0,1422.0,27.0
19,1.0,3.0,10.0,M2,1280.0,1380.0,100.0,0.0,20.0
20,5.0,3.0,9.0,L1,2538.0,2718.0,180.0,0.0,27.0
21,7.0,8.0,7.0,K1,3471.0,4031.0,560.0,0.0,14.0
22,4.0,4.0,7.0,G1,2356.0,2986.0,630.0,0.0,21.0
23,4.0,5.0,7.0,E1,3007.0,3497.0,490.0,0.0,56.0
24,1.0,4.0,10.0,N1,1400.0,1900.0,500.0,0.0,60.0
25,5.0,4.0,9.0,P2,2745.0,3285.0,540.0,0.0,18.0
26,5.0,5.0,9.0,S1,3303.0,3483.0,180.0,0.0,36.0
27,5.0,6.0,9.0,H3,3519.0,3699.0,180.0,0.0,36.0
28,6.0,1.0,6.0,D2,1931.0,2051.0,120.0,931.0,18.0
29,8.0,3.0,8.0,D2,2303.0,2463.0,160.0,0.0,48.0
30,2.0,4.0,11.0,P1,1342.0,1892.0,550.0,0.0,55.0
31,7.0,9.0,7.0,O1,4045.0,4115.0,70.0,0.0,21.0
32,8.0,4.0,8.0,A1,2511.0,2991.0,480.0,0.0,16.0
33,2.0,5.0,11.0,Q3,1947.0,2387.0,440.0,0.0,22.0
34,6.0,2.0,6.0,G2,3604.0,3784.0,180.0,1535.0,42.0
