,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,28.0
1,6.0,1.0,6.0,D2,1000.0,1120.0,120.0,0.0,24.0
2,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
3,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,9.0
4,6.0,2.0,6.0,G1,1144.0,1324.0,180.0,0.0,30.0
5,8.0,1.0,8.0,C1,1089.0,1809.0,720.0,89.0,8.0
6,5.0,4.0,9.0,P1,1764.0,2304.0,540.0,0.0,9.0
7,5.0,5.0,9.0,S1,2313.0,2493.0,180.0,0.0,36.0
8,5.0,6.0,9.0,H1,2529.0,2979.0,450.0,0.0,18.0
9,7.0,2.0,7.0,D3,1308.0,1518.0,210.0,0.0,56.0
10,7.0,3.0,7.0,E1,1574.0,1924.0,350.0,0.0,28.0
11,7.0,4.0,7.0,G2,1952.0,2162.0,210.0,0.0,21.0
12,4.0,2.0,7.0,C1,1809.0,1879.0,70.0,1151.0,7.0
13,6.0,3.0,6.0,Q2,1354.0,1894.0,540.0,0.0,36.0
14,5.0,7.0,9.0,G1,2997.0,3627.0,630.0,0.0,27.0
15,6.0,4.0,6.0,T1,1930.0,2170.0,240.0,0.0,18.0
16,8.0,2.0,8.0,B1,1817.0,2297.0,480.0,0.0,24.0
17,8.0,3.0,8.0,D2,2321.0,2481.0,160.0,0.0,40.0
18,3.0,1.0,12.0,A3,0.0,960.0,960.0,0.0,24.0
19,4.0,3.0,7.0,B1,2297.0,2367.0,70.0,411.0,14.0
20,6.0,5.0,6.0,L2,2188.0,2548.0,360.0,0.0,12.0
21,7.0,5.0,7.0,I3,2183.0,2463.0,280.0,0.0,7.0
22,8.0,4.0,8.0,A2,2551.0,2631.0,80.0,30.0,16.0
23,1.0,2.0,10.0,L2,2548.0,2748.0,200.0,1538.0,70.0
24,8.0,5.0,8.0,E1,2647.0,3047.0,400.0,0.0,56.0
25,7.0,6.0,7.0,J1,2470.0,2680.0,210.0,0.0,14.0
26,7.0,7.0,7.0,L1,2694.0,3324.0,630.0,0.0,7.0
27,4.0,4.0,7.0,G2,2381.0,2521.0,140.0,0.0,21.0
28,8.0,6.0,8.0,H3,3103.0,3343.0,240.0,0.0,48.0
29,5.0,8.0,9.0,E1,3654.0,4464.0,810.0,0.0,54.0
30,7.0,8.0,7.0,K1,3331.0,3891.0,560.0,0.0,7.0
31,1.0,3.0,10.0,M2,2818.0,2918.0,100.0,0.0,20.0
32,6.0,6.0,6.0,O3,2560.0,2800.0,240.0,0.0,30.0
33,4.0,5.0,7.0,E2,2542.0,3032.0,490.0,0.0,49.0
34,7.0,9.0,7.0,O2,3898.0,4108.0,210.0,0.0,14.0
35,2.0,2.0,11.0,D1,1056.0,1716.0,660.0,0.0,77.0
36,3.0,2.0,12.0,C1,1879.0,2719.0,840.0,895.0,60.0
37,1.0,4.0,10.0,N1,2938.0,3438.0,500.0,0.0,80.0
38,1.0,5.0,10.0,D3,3518.0,4318.0,800.0,0.0,30.0
39,2.0,3.0,11.0,M3,1793.0,2343.0,550.0,0.0,66.0
40,2.0,4.0,11.0,P2,2409.0,3179.0,770.0,0.0,88.0
41,2.0,5.0,11.0,Q1,3267.0,3597.0,330.0,0.0,55.0
42,5.0,9.0,9.0,O2,4518.0,5328.0,810.0,0.0,18.0
43,3.0,3.0,12.0,E1,2779.0,3499.0,720.0,0.0,36.0
44,5.0,10.0,9.0,N1,5346.0,5526.0,180.0,0.0,27.0
45,2.0,6.0,11.0,R3,3652.0,4202.0,550.0,0.0,44.0
46,3.0,4.0,12.0,G1,3627.0,4467.0,840.0,92.0,60.0
47,8.0,7.0,8.0,I3,3391.0,3951.0,560.0,0.0,8.0
48,7.0,10.0,7.0,P1,4122.0,4402.0,280.0,0.0,28.0
49,6.0,7.0,6.0,I2,2830.0,2890.0,60.0,0.0,12.0
50,8.0,8.0,8.0,F1,3959.0,4519.0,560.0,0.0,32.0
51,3.0,5.0,12.0,R3,4527.0,5127.0,600.0,0.0,24.0
52,8.0,9.0,8.0,R1,4551.0,5191.0,640.0,0.0,24.0
53,2.0,7.0,11.0,G2,4246.0,4796.0,550.0,0.0,22.0
54,5.0,11.0,9.0,K1,5553.0,5733.0,180.0,0.0,45.0
55,1.0,6.0,10.0,P2,4348.0,5148.0,800.0,0.0,50.0
56,2.0,8.0,11.0,F1,4818.0,5698.0,880.0,0.0,22.0
57,8.0,10.0,8.0,O3,5215.0,5295.0,80.0,0.0,24.0
58,2.0,9.0,11.0,I2,5720.0,6160.0,440.0,0.0,88.0
59,3.0,6.0,12.0,L1,5151.0,5991.0,840.0,0.0,60.0
60,4.0,6.0,7.0,D3,4318.0,4668.0,350.0,1237.0,28.0
61,3.0,7.0,12.0,M3,6051.0,6531.0,480.0,0.0,72.0
62,2.0,10.0,11.0,T1,6248.0,7018.0,770.0,0.0,11.0
63,4.0,7.0,7.0,P1,4696.0,4836.0,140.0,0.0,7.0
64,3.0,8.0,12.0,S1,6603.0,6843.0,240.0,0.0,84.0
65,8.0,11.0,8.0,N1,5526.0,5846.0,320.0,207.0,48.0
66,7.0,11.0,7.0,R1,5191.0,5681.0,490.0,761.0,21.0
67,8.0,12.0,8.0,M1,5894.0,6134.0,240.0,0.0,16.0
68,4.0,8.0,7.0,O3,5295.0,5855.0,560.0,452.0,21.0
69,8.0,13.0,8.0,P1,6150.0,6470.0,320.0,0.0,16.0
70,5.0,12.0,9.0,A2,5778.0,6498.0,720.0,0.0,90.0
71,3.0,9.0,12.0,I2,6927.0,7647.0,720.0,0.0,24.0
72,2.0,11.0,11.0,S1,7029.0,7469.0,440.0,0.0,44.0
73,4.0,9.0,7.0,N1,5876.0,6506.0,630.0,0.0,28.0
74,5.0,13.0,9.0,T1,7018.0,7108.0,90.0,430.0,54.0
75,7.0,12.0,7.0,S1,7469.0,8099.0,630.0,1767.0,7.0
76,6.0,8.0,6.0,A2,6498.0,6858.0,360.0,3596.0,24.0
77,2.0,12.0,11.0,K1,7513.0,7623.0,110.0,0.0,0.0
78,5.0,14.0,9.0,J1,7162.0,7342.0,180.0,0.0,0.0
79,3.0,10.0,12.0,J1,7671.0,8391.0,720.0,0.0,72.0
80,8.0,14.0,8.0,T1,7108.0,7188.0,80.0,622.0,0.0
81,1.0,7.0,10.0,G2,5198.0,5798.0,600.0,0.0,30.0
82,7.0,13.0,7.0,T1,8106.0,8666.0,560.0,0.0,0.0
83,3.0,11.0,12.0,T1,8666.0,9506.0,840.0,203.0,0.0
84,1.0,8.0,10.0,E2,5828.0,5928.0,100.0,0.0,40.0
85,6.0,9.0,6.0,M2,6882.0,7302.0,420.0,0.0,24.0
86,4.0,10.0,7.0,L1,6534.0,6814.0,280.0,0.0,0.0
87,6.0,10.0,6.0,F1,7326.0,7806.0,480.0,0.0,0.0
88,1.0,9.0,10.0,H1,5968.0,6668.0,700.0,0.0,0.0
