,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
1,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,50.0
3,2.0,1.0,11.0,E1,0.0,910.0,910.0,30.0,77.0
4,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,21.0
1,3.0,2.0,12.0,C1,156.0,996.0,840.0,0.0,48.0
2,5.0,2.0,9.0,C1,996.0,1716.0,720.0,627.0,36.0
3,4.0,2.0,7.0,C1,1716.0,1786.0,70.0,1548.0,7.0
4,6.0,1.0,6.0,D2,1000.0,1120.0,120.0,0.0,24.0
5,7.0,2.0,7.0,D2,1301.0,1931.0,630.0,0.0,49.0
6,3.0,3.0,12.0,E2,1044.0,2124.0,1080.0,0.0,24.0
7,2.0,2.0,11.0,D3,998.0,1108.0,110.0,0.0,22.0
8,5.0,3.0,9.0,L2,1752.0,2382.0,630.0,0.0,9.0
9,7.0,3.0,7.0,E1,1980.0,2330.0,350.0,0.0,21.0
10,6.0,2.0,6.0,G1,1144.0,1324.0,180.0,0.0,24.0
11,3.0,4.0,12.0,G1,2148.0,2988.0,840.0,0.0,60.0
12,2.0,3.0,11.0,M1,1160.0,1270.0,110.0,30.0,11.0
13,7.0,4.0,7.0,G1,2988.0,3408.0,420.0,637.0,14.0
14,6.0,3.0,6.0,Q3,1348.0,1888.0,540.0,0.0,30.0
15,4.0,3.0,7.0,B1,1793.0,1863.0,70.0,0.0,14.0
16,2.0,4.0,11.0,P2,1281.0,2051.0,770.0,0.0,88.0
17,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,20.0
18,8.0,1.0,8.0,C1,1786.0,2506.0,720.0,786.0,8.0
19,3.0,5.0,12.0,R3,3048.0,3648.0,600.0,0.0,36.0
20,1.0,3.0,10.0,M1,1720.0,1920.0,200.0,0.0,60.0
21,6.0,4.0,6.0,T1,1918.0,2158.0,240.0,0.0,18.0
22,4.0,4.0,7.0,G2,1877.0,2017.0,140.0,0.0,21.0
23,6.0,5.0,6.0,L2,2382.0,2742.0,360.0,206.0,12.0
24,7.0,5.0,7.0,I3,3422.0,3702.0,280.0,0.0,7.0
25,4.0,5.0,7.0,E2,2124.0,2614.0,490.0,86.0,35.0
26,8.0,2.0,8.0,B1,2514.0,2994.0,480.0,0.0,32.0
27,6.0,6.0,6.0,O3,2754.0,2994.0,240.0,0.0,24.0
28,6.0,7.0,6.0,I3,3702.0,4002.0,300.0,684.0,12.0
29,4.0,6.0,7.0,D1,2649.0,3139.0,490.0,0.0,35.0
30,2.0,5.0,11.0,Q1,2139.0,2469.0,330.0,0.0,33.0
31,6.0,8.0,6.0,A3,4014.0,4374.0,360.0,0.0,30.0
32,2.0,6.0,11.0,R1,2502.0,3052.0,550.0,0.0,44.0
33,5.0,4.0,9.0,P1,2391.0,2931.0,540.0,0.0,9.0
34,7.0,6.0,7.0,J1,3709.0,3919.0,210.0,0.0,14.0
35,5.0,5.0,9.0,S1,2940.0,3120.0,180.0,0.0,36.0
36,2.0,7.0,11.0,G2,3096.0,3646.0,550.0,0.0,22.0
37,5.0,6.0,9.0,H3,3156.0,3336.0,180.0,0.0,27.0
38,3.0,6.0,12.0,L2,3684.0,4524.0,840.0,0.0,12.0
39,7.0,7.0,7.0,L1,3933.0,4563.0,630.0,0.0,7.0
40,8.0,3.0,8.0,D3,3026.0,3746.0,720.0,0.0,48.0
41,4.0,7.0,7.0,P2,3174.0,3804.0,630.0,0.0,28.0
42,3.0,7.0,12.0,M1,4536.0,4776.0,240.0,0.0,36.0
43,5.0,7.0,9.0,G2,3646.0,4276.0,630.0,283.0,36.0
44,1.0,4.0,10.0,N1,1980.0,2480.0,500.0,0.0,80.0
45,2.0,8.0,11.0,F1,3668.0,4548.0,880.0,0.0,11.0
46,2.0,9.0,11.0,I3,4559.0,5439.0,880.0,0.0,77.0
47,1.0,5.0,10.0,D3,3746.0,4546.0,800.0,1186.0,30.0
48,1.0,6.0,10.0,P2,4576.0,5376.0,800.0,0.0,50.0
49,8.0,4.0,8.0,A2,3794.0,3874.0,80.0,0.0,8.0
50,8.0,5.0,8.0,E2,3882.0,4202.0,320.0,0.0,48.0
51,2.0,10.0,11.0,T1,5516.0,6286.0,770.0,0.0,11.0
52,1.0,7.0,10.0,G2,5426.0,6026.0,600.0,0.0,30.0
53,8.0,6.0,8.0,H3,4250.0,4490.0,240.0,0.0,64.0
54,3.0,8.0,12.0,S1,4812.0,5052.0,240.0,0.0,84.0
55,7.0,8.0,7.0,K1,4570.0,5130.0,560.0,0.0,7.0
56,1.0,8.0,10.0,E2,6056.0,6156.0,100.0,0.0,40.0
57,3.0,9.0,12.0,I2,5136.0,5856.0,720.0,0.0,24.0
58,8.0,7.0,8.0,I1,4554.0,4794.0,240.0,0.0,24.0
59,7.0,9.0,7.0,O2,5137.0,5347.0,210.0,0.0,14.0
60,7.0,10.0,7.0,P1,5361.0,5641.0,280.0,0.0,21.0
61,7.0,11.0,7.0,R2,5662.0,5732.0,70.0,0.0,14.0
62,7.0,12.0,7.0,S1,5746.0,6376.0,630.0,0.0,7.0
63,4.0,8.0,7.0,O1,3832.0,3972.0,140.0,0.0,7.0
64,8.0,8.0,8.0,F1,4818.0,5378.0,560.0,0.0,32.0
65,5.0,8.0,9.0,E1,4312.0,5122.0,810.0,0.0,54.0
66,2.0,11.0,11.0,S1,6376.0,6816.0,440.0,79.0,44.0
67,5.0,9.0,9.0,O2,5347.0,6157.0,810.0,171.0,18.0
68,8.0,9.0,8.0,R1,5410.0,6050.0,640.0,0.0,8.0
69,8.0,10.0,8.0,O1,6058.0,6138.0,80.0,0.0,8.0
70,8.0,11.0,8.0,N1,6146.0,6466.0,320.0,0.0,16.0
71,5.0,10.0,9.0,N1,6466.0,6646.0,180.0,291.0,27.0
72,3.0,10.0,12.0,J1,5880.0,6600.0,720.0,0.0,72.0
73,5.0,11.0,9.0,K1,6673.0,6853.0,180.0,0.0,36.0
74,5.0,12.0,9.0,A3,6889.0,7339.0,450.0,0.0,81.0
75,4.0,9.0,7.0,N1,6646.0,7276.0,630.0,2667.0,28.0
76,6.0,9.0,6.0,M2,4404.0,4824.0,420.0,0.0,24.0
77,3.0,11.0,12.0,T1,6672.0,7512.0,840.0,0.0,0.0
78,5.0,13.0,9.0,T1,7512.0,7602.0,90.0,92.0,54.0
79,4.0,10.0,7.0,L1,7304.0,7584.0,280.0,0.0,0.0
80,8.0,12.0,8.0,M2,6482.0,7042.0,560.0,0.0,56.0
81,8.0,13.0,8.0,P2,7098.0,7178.0,80.0,0.0,8.0
82,2.0,12.0,11.0,K1,6860.0,6970.0,110.0,0.0,0.0
83,1.0,9.0,10.0,H1,6196.0,6896.0,700.0,0.0,0.0
84,8.0,14.0,8.0,T1,7602.0,7682.0,80.0,416.0,0.0
85,7.0,13.0,7.0,T1,7682.0,8242.0,560.0,1299.0,0.0
86,5.0,14.0,9.0,J1,7686.0,7866.0,180.0,30.0,0.0
87,6.0,10.0,6.0,F1,5378.0,5858.0,480.0,530.0,0.0
