,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
1,2.0,2.0,11.0,D1,1045.0,1705.0,660.0,0.0,44.0
2,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,28.0
3,6.0,1.0,6.0,D3,1000.0,1420.0,420.0,0.0,30.0
4,6.0,2.0,6.0,G1,1450.0,1630.0,180.0,0.0,36.0
5,7.0,2.0,7.0,D3,1420.0,1630.0,210.0,112.0,49.0
6,6.0,3.0,6.0,Q1,1666.0,1726.0,60.0,0.0,42.0
7,7.0,3.0,7.0,E2,1679.0,2239.0,560.0,0.0,21.0
8,2.0,3.0,11.0,M1,1749.0,1859.0,110.0,0.0,22.0
9,3.0,2.0,12.0,C1,168.0,1008.0,840.0,0.0,60.0
10,8.0,1.0,8.0,C1,1008.0,1728.0,720.0,8.0,8.0
11,6.0,4.0,6.0,T1,1768.0,2008.0,240.0,0.0,24.0
12,7.0,4.0,7.0,G2,2260.0,2470.0,210.0,0.0,28.0
13,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,70.0
14,4.0,2.0,7.0,C1,1728.0,1798.0,70.0,1070.0,7.0
15,2.0,4.0,11.0,P1,1881.0,2431.0,550.0,0.0,77.0
16,3.0,3.0,12.0,E1,1068.0,1788.0,720.0,0.0,48.0
17,1.0,3.0,10.0,M2,1280.0,1380.0,100.0,0.0,20.0
18,8.0,2.0,8.0,B1,1736.0,2216.0,480.0,0.0,24.0
19,5.0,2.0,9.0,C1,1798.0,2518.0,720.0,1429.0,36.0
20,2.0,5.0,11.0,Q1,2508.0,2838.0,330.0,0.0,33.0
21,8.0,3.0,8.0,D2,2240.0,2400.0,160.0,0.0,48.0
22,2.0,6.0,11.0,R1,2871.0,3421.0,550.0,0.0,44.0
23,8.0,4.0,8.0,A1,2448.0,2928.0,480.0,0.0,16.0
24,4.0,3.0,7.0,B1,2216.0,2286.0,70.0,411.0,14.0
25,7.0,5.0,7.0,I2,2498.0,2568.0,70.0,0.0,14.0
26,4.0,4.0,7.0,G2,2470.0,2610.0,140.0,170.0,28.0
27,3.0,4.0,12.0,G2,2610.0,3450.0,840.0,774.0,48.0
28,5.0,3.0,9.0,L2,2554.0,3184.0,630.0,0.0,18.0
29,5.0,4.0,9.0,P2,3202.0,3742.0,540.0,0.0,18.0
30,8.0,5.0,8.0,E2,2944.0,3264.0,320.0,0.0,32.0
31,4.0,5.0,7.0,E1,2638.0,3128.0,490.0,0.0,56.0
32,6.0,5.0,6.0,L1,2032.0,2212.0,180.0,0.0,6.0
33,2.0,7.0,11.0,G2,3465.0,4015.0,550.0,0.0,22.0
34,5.0,5.0,9.0,S1,3760.0,3940.0,180.0,0.0,27.0
35,6.0,6.0,6.0,O3,2218.0,2458.0,240.0,0.0,24.0
36,6.0,7.0,6.0,I3,2482.0,2782.0,300.0,0.0,24.0
37,4.0,6.0,7.0,D3,3184.0,3534.0,350.0,0.0,28.0
38,3.0,5.0,12.0,R1,3498.0,4338.0,840.0,0.0,60.0
39,7.0,6.0,7.0,J1,2582.0,2792.0,210.0,0.0,14.0
40,8.0,6.0,8.0,H1,3296.0,3536.0,240.0,0.0,32.0
41,4.0,7.0,7.0,P1,3562.0,3702.0,140.0,0.0,21.0
42,7.0,7.0,7.0,L1,2806.0,3436.0,630.0,0.0,7.0
43,2.0,8.0,11.0,F1,4037.0,4917.0,880.0,0.0,33.0
44,6.0,8.0,6.0,A1,2928.0,2988.0,60.0,122.0,54.0
45,4.0,8.0,7.0,O1,3723.0,3863.0,140.0,0.0,7.0
46,7.0,8.0,7.0,K1,3443.0,4003.0,560.0,0.0,14.0
47,3.0,6.0,12.0,L2,4398.0,5238.0,840.0,0.0,84.0
48,1.0,4.0,10.0,N1,1400.0,1900.0,500.0,0.0,80.0
49,5.0,6.0,9.0,H2,3967.0,4417.0,450.0,0.0,27.0
50,4.0,9.0,7.0,N1,3870.0,4500.0,630.0,0.0,35.0
51,2.0,9.0,11.0,I1,4950.0,5830.0,880.0,0.0,99.0
52,5.0,7.0,9.0,G1,4444.0,5074.0,630.0,0.0,27.0
53,5.0,8.0,9.0,E1,5101.0,5911.0,810.0,0.0,54.0
54,7.0,9.0,7.0,O1,4017.0,4087.0,70.0,0.0,21.0
55,7.0,10.0,7.0,P1,4108.0,4388.0,280.0,0.0,14.0
56,7.0,11.0,7.0,R3,4402.0,4822.0,420.0,0.0,7.0
57,3.0,7.0,12.0,M2,5322.0,6162.0,840.0,0.0,84.0
58,8.0,7.0,8.0,I3,3568.0,4128.0,560.0,0.0,8.0
59,3.0,8.0,12.0,S1,6246.0,6486.0,240.0,0.0,84.0
60,5.0,9.0,9.0,O2,5965.0,6775.0,810.0,0.0,18.0
61,7.0,12.0,7.0,S1,6486.0,7116.0,630.0,1657.0,7.0
62,8.0,8.0,8.0,F1,4917.0,5477.0,560.0,781.0,40.0
63,1.0,5.0,10.0,D3,3534.0,4334.0,800.0,1554.0,30.0
64,8.0,9.0,8.0,R2,5517.0,6157.0,640.0,0.0,16.0
65,1.0,6.0,10.0,P2,4364.0,5164.0,800.0,0.0,60.0
66,4.0,10.0,7.0,L2,5238.0,5868.0,630.0,703.0,0.0
67,6.0,9.0,6.0,M1,3042.0,3222.0,180.0,0.0,36.0
68,8.0,10.0,8.0,O3,6173.0,6253.0,80.0,0.0,24.0
69,2.0,10.0,11.0,T1,5929.0,6699.0,770.0,0.0,11.0
70,8.0,11.0,8.0,N1,6277.0,6597.0,320.0,0.0,16.0
71,5.0,10.0,9.0,N1,6793.0,6973.0,180.0,0.0,27.0
72,5.0,11.0,9.0,K1,7000.0,7180.0,180.0,0.0,54.0
73,2.0,11.0,11.0,S1,7116.0,7556.0,440.0,406.0,44.0
74,3.0,9.0,12.0,I2,6570.0,7290.0,720.0,0.0,24.0
75,1.0,7.0,10.0,G1,5224.0,6124.0,900.0,0.0,20.0
76,5.0,12.0,9.0,A1,7234.0,7684.0,450.0,0.0,99.0
77,3.0,10.0,12.0,J1,7314.0,8034.0,720.0,0.0,72.0
78,7.0,13.0,7.0,T1,7123.0,7683.0,560.0,0.0,0.0
79,5.0,13.0,9.0,T1,7783.0,7873.0,90.0,0.0,54.0
80,6.0,10.0,6.0,F1,5477.0,5957.0,480.0,2219.0,0.0
81,1.0,8.0,10.0,E2,6144.0,6244.0,100.0,0.0,60.0
82,3.0,11.0,12.0,T1,8106.0,8946.0,840.0,0.0,0.0
83,8.0,12.0,8.0,M2,6613.0,7173.0,560.0,0.0,56.0
84,1.0,9.0,10.0,H3,6304.0,6604.0,300.0,0.0,0.0
85,2.0,12.0,11.0,K1,7600.0,7710.0,110.0,0.0,0.0
86,8.0,13.0,8.0,P2,7229.0,7309.0,80.0,0.0,8.0
87,5.0,14.0,9.0,J1,8034.0,8214.0,180.0,107.0,0.0
88,8.0,14.0,8.0,T1,8946.0,9026.0,80.0,1629.0,0.0
