,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,28.0
1,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,10.0
2,7.0,2.0,7.0,D3,1308.0,1518.0,210.0,0.0,56.0
3,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,27.0
4,3.0,1.0,12.0,A2,0.0,1080.0,1080.0,0.0,36.0
5,7.0,3.0,7.0,E1,1574.0,1924.0,350.0,0.0,28.0
6,1.0,3.0,10.0,M1,1220.0,1420.0,200.0,0.0,60.0
7,6.0,1.0,6.0,D2,1000.0,1120.0,120.0,0.0,24.0
8,6.0,2.0,6.0,G1,1144.0,1324.0,180.0,0.0,36.0
9,5.0,3.0,9.0,L1,1116.0,1296.0,180.0,0.0,18.0
10,3.0,2.0,12.0,C1,1116.0,1956.0,840.0,0.0,48.0
11,7.0,4.0,7.0,G2,1952.0,2162.0,210.0,0.0,21.0
12,7.0,5.0,7.0,I3,2183.0,2463.0,280.0,0.0,7.0
13,3.0,3.0,12.0,E2,2004.0,3084.0,1080.0,0.0,36.0
14,3.0,4.0,12.0,G2,3120.0,3960.0,840.0,0.0,48.0
15,5.0,4.0,9.0,P1,1314.0,1854.0,540.0,0.0,9.0
16,4.0,2.0,7.0,C1,1956.0,2026.0,70.0,1305.0,7.0
17,6.0,3.0,6.0,Q1,1360.0,1420.0,60.0,0.0,42.0
18,3.0,5.0,12.0,R3,4008.0,4608.0,600.0,0.0,36.0
19,5.0,5.0,9.0,S1,1863.0,2043.0,180.0,0.0,27.0
20,1.0,4.0,10.0,N1,1480.0,1980.0,500.0,0.0,80.0
21,1.0,5.0,10.0,D3,2060.0,2860.0,800.0,0.0,30.0
22,6.0,4.0,6.0,T1,1462.0,1702.0,240.0,0.0,24.0
23,5.0,6.0,9.0,H2,2070.0,2520.0,450.0,0.0,27.0
24,3.0,6.0,12.0,L2,4644.0,5484.0,840.0,0.0,72.0
25,2.0,2.0,11.0,D2,1120.0,1560.0,440.0,64.0,99.0
26,8.0,1.0,8.0,C1,2026.0,2746.0,720.0,1026.0,8.0
27,2.0,3.0,11.0,M2,1659.0,2429.0,770.0,0.0,77.0
28,2.0,4.0,11.0,P2,2506.0,3276.0,770.0,0.0,77.0
29,4.0,3.0,7.0,B1,2033.0,2103.0,70.0,0.0,7.0
30,8.0,2.0,8.0,B1,2754.0,3234.0,480.0,0.0,24.0
31,8.0,3.0,8.0,D2,3258.0,3418.0,160.0,0.0,32.0
32,4.0,4.0,7.0,G1,2110.0,2740.0,630.0,0.0,14.0
33,2.0,5.0,11.0,Q2,3353.0,4013.0,660.0,0.0,22.0
34,6.0,5.0,6.0,L1,1726.0,1906.0,180.0,0.0,12.0
35,7.0,6.0,7.0,J1,2470.0,2680.0,210.0,0.0,14.0
36,1.0,6.0,10.0,P2,3276.0,4076.0,800.0,386.0,60.0
37,7.0,7.0,7.0,L1,2694.0,3324.0,630.0,0.0,7.0
38,8.0,4.0,8.0,A3,3450.0,4010.0,560.0,0.0,16.0
39,4.0,5.0,7.0,E2,3084.0,3574.0,490.0,330.0,35.0
40,6.0,6.0,6.0,O2,1918.0,2158.0,240.0,0.0,18.0
41,5.0,7.0,9.0,G1,2740.0,3370.0,630.0,193.0,18.0
42,4.0,6.0,7.0,D1,3609.0,4099.0,490.0,0.0,35.0
43,7.0,8.0,7.0,K1,3331.0,3891.0,560.0,0.0,14.0
44,8.0,5.0,8.0,E2,4026.0,4346.0,320.0,0.0,48.0
45,5.0,8.0,9.0,E2,4346.0,5066.0,720.0,958.0,45.0
46,6.0,7.0,6.0,I3,2463.0,2763.0,300.0,287.0,18.0
47,7.0,9.0,7.0,O3,3905.0,4255.0,350.0,0.0,7.0
48,5.0,9.0,9.0,O2,5111.0,5921.0,810.0,0.0,18.0
49,6.0,8.0,6.0,A2,2781.0,3141.0,360.0,0.0,48.0
50,6.0,9.0,6.0,M1,3189.0,3369.0,180.0,0.0,36.0
51,1.0,7.0,10.0,G1,4136.0,5036.0,900.0,0.0,20.0
52,5.0,10.0,9.0,N1,5939.0,6119.0,180.0,0.0,27.0
53,4.0,7.0,7.0,P2,4134.0,4764.0,630.0,0.0,21.0
54,2.0,6.0,11.0,R1,4035.0,4585.0,550.0,0.0,33.0
55,8.0,6.0,8.0,H3,4394.0,4634.0,240.0,0.0,64.0
56,8.0,7.0,8.0,I1,4698.0,4938.0,240.0,0.0,24.0
57,2.0,7.0,11.0,G1,5036.0,5586.0,550.0,418.0,11.0
58,6.0,10.0,6.0,F1,3405.0,3885.0,480.0,0.0,0.0
59,7.0,10.0,7.0,P1,4262.0,4542.0,280.0,0.0,21.0
60,4.0,8.0,7.0,O2,5921.0,6201.0,280.0,1136.0,14.0
61,8.0,8.0,8.0,F1,4962.0,5522.0,560.0,0.0,32.0
62,8.0,9.0,8.0,R1,5554.0,6194.0,640.0,0.0,24.0
63,4.0,9.0,7.0,N1,6215.0,6845.0,630.0,0.0,28.0
64,2.0,8.0,11.0,F1,5597.0,6477.0,880.0,0.0,22.0
65,4.0,10.0,7.0,L1,6873.0,7153.0,280.0,0.0,0.0
66,7.0,11.0,7.0,R2,4563.0,4633.0,70.0,0.0,14.0
67,3.0,7.0,12.0,M3,5556.0,6036.0,480.0,0.0,72.0
68,2.0,9.0,11.0,I2,6499.0,6939.0,440.0,0.0,88.0
69,8.0,10.0,8.0,O3,6218.0,6298.0,80.0,0.0,24.0
70,3.0,8.0,12.0,S1,6108.0,6348.0,240.0,0.0,84.0
71,3.0,9.0,12.0,I2,6939.0,7659.0,720.0,507.0,24.0
72,5.0,11.0,9.0,K1,6146.0,6326.0,180.0,0.0,36.0
73,5.0,12.0,9.0,A3,6362.0,6812.0,450.0,0.0,81.0
74,7.0,12.0,7.0,S1,6348.0,6978.0,630.0,1701.0,7.0
75,3.0,10.0,12.0,J1,7683.0,8403.0,720.0,0.0,72.0
76,2.0,10.0,11.0,T1,7027.0,7797.0,770.0,0.0,11.0
77,5.0,13.0,9.0,T1,7797.0,7887.0,90.0,904.0,54.0
78,8.0,11.0,8.0,N1,6845.0,7165.0,320.0,523.0,48.0
79,8.0,12.0,8.0,M1,7213.0,7453.0,240.0,0.0,8.0
80,1.0,8.0,10.0,E2,5066.0,5166.0,100.0,10.0,50.0
81,8.0,13.0,8.0,P2,7461.0,7541.0,80.0,0.0,8.0
82,2.0,11.0,11.0,S1,7808.0,8248.0,440.0,0.0,44.0
83,8.0,14.0,8.0,T1,7887.0,7967.0,80.0,338.0,0.0
84,3.0,11.0,12.0,T1,8475.0,9315.0,840.0,0.0,0.0
85,7.0,13.0,7.0,T1,9315.0,9875.0,560.0,2330.0,0.0
86,5.0,14.0,9.0,J1,8403.0,8583.0,180.0,462.0,0.0
87,2.0,12.0,11.0,K1,8292.0,8402.0,110.0,0.0,0.0
88,1.0,9.0,10.0,H2,5216.0,5716.0,500.0,0.0,0.0
