,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,14.0
1,7.0,2.0,7.0,D1,1294.0,1854.0,560.0,0.0,42.0
2,6.0,1.0,6.0,D3,1000.0,1420.0,420.0,0.0,30.0
3,7.0,3.0,7.0,E1,1896.0,2246.0,350.0,0.0,21.0
4,6.0,2.0,6.0,G1,1450.0,1630.0,180.0,0.0,36.0
5,7.0,4.0,7.0,G1,2267.0,2687.0,420.0,0.0,28.0
6,3.0,1.0,12.0,A3,0.0,960.0,960.0,0.0,24.0
7,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
8,3.0,2.0,12.0,C1,1089.0,1929.0,840.0,105.0,60.0
9,3.0,3.0,12.0,E1,2246.0,2966.0,720.0,257.0,48.0
10,8.0,1.0,8.0,C1,1929.0,2649.0,720.0,929.0,8.0
11,6.0,3.0,6.0,Q1,1666.0,1726.0,60.0,0.0,42.0
12,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,60.0
13,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,18.0
14,3.0,4.0,12.0,G2,3014.0,3854.0,840.0,0.0,48.0
15,5.0,4.0,9.0,P2,1773.0,2313.0,540.0,0.0,18.0
16,5.0,5.0,9.0,S1,2331.0,2511.0,180.0,0.0,36.0
17,4.0,2.0,7.0,C1,2649.0,2719.0,70.0,1998.0,7.0
18,7.0,5.0,7.0,I1,2715.0,3275.0,560.0,0.0,21.0
19,4.0,3.0,7.0,B1,2726.0,2796.0,70.0,0.0,7.0
20,2.0,2.0,11.0,D2,1056.0,1496.0,440.0,0.0,99.0
21,3.0,5.0,12.0,R3,3902.0,4502.0,600.0,0.0,24.0
22,5.0,6.0,9.0,H3,2547.0,2727.0,180.0,0.0,36.0
23,7.0,6.0,7.0,J1,3296.0,3506.0,210.0,0.0,14.0
24,7.0,7.0,7.0,L1,3520.0,4150.0,630.0,0.0,7.0
25,4.0,4.0,7.0,G1,2803.0,3433.0,630.0,0.0,14.0
26,7.0,8.0,7.0,K1,4157.0,4717.0,560.0,0.0,14.0
27,1.0,3.0,10.0,M2,1760.0,1860.0,100.0,0.0,20.0
28,4.0,5.0,7.0,E2,3447.0,3937.0,490.0,0.0,42.0
29,3.0,6.0,12.0,L1,4526.0,5366.0,840.0,0.0,24.0
30,2.0,3.0,11.0,M2,1860.0,2630.0,770.0,265.0,66.0
31,8.0,2.0,8.0,B1,2796.0,3276.0,480.0,139.0,32.0
32,2.0,4.0,11.0,P1,2696.0,3246.0,550.0,0.0,77.0
33,2.0,5.0,11.0,Q1,3323.0,3653.0,330.0,0.0,33.0
34,2.0,6.0,11.0,R1,3686.0,4236.0,550.0,0.0,44.0
35,2.0,7.0,11.0,G2,4280.0,4830.0,550.0,0.0,22.0
36,3.0,7.0,12.0,M1,5390.0,5630.0,240.0,0.0,36.0
37,4.0,6.0,7.0,D2,3979.0,4399.0,420.0,0.0,28.0
38,2.0,8.0,11.0,F1,4852.0,5732.0,880.0,0.0,22.0
39,7.0,9.0,7.0,O3,4731.0,5081.0,350.0,0.0,7.0
40,6.0,4.0,6.0,T1,1768.0,2008.0,240.0,0.0,18.0
41,1.0,4.0,10.0,N1,1880.0,2380.0,500.0,0.0,80.0
42,8.0,3.0,8.0,D3,3308.0,4028.0,720.0,0.0,40.0
43,4.0,7.0,7.0,P2,4427.0,5057.0,630.0,0.0,28.0
44,8.0,4.0,8.0,A3,4068.0,4628.0,560.0,0.0,24.0
45,5.0,7.0,9.0,G1,3433.0,4063.0,630.0,670.0,18.0
46,6.0,5.0,6.0,L2,2026.0,2386.0,360.0,0.0,18.0
47,5.0,8.0,9.0,E2,4081.0,4801.0,720.0,0.0,54.0
48,8.0,5.0,8.0,E1,4652.0,5052.0,400.0,0.0,56.0
49,8.0,6.0,8.0,H3,5108.0,5348.0,240.0,0.0,48.0
50,2.0,9.0,11.0,I2,5754.0,6194.0,440.0,0.0,88.0
51,1.0,5.0,10.0,D3,4028.0,4828.0,800.0,1568.0,30.0
52,6.0,6.0,6.0,O2,2404.0,2644.0,240.0,0.0,30.0
53,7.0,10.0,7.0,P1,5088.0,5368.0,280.0,0.0,28.0
54,6.0,7.0,6.0,I1,3275.0,3695.0,420.0,601.0,18.0
55,8.0,7.0,8.0,I3,5396.0,5956.0,560.0,0.0,8.0
56,5.0,9.0,9.0,O3,5081.0,5351.0,270.0,226.0,27.0
57,4.0,8.0,7.0,O1,5085.0,5225.0,140.0,0.0,7.0
58,4.0,9.0,7.0,N1,5232.0,5862.0,630.0,0.0,35.0
59,5.0,10.0,9.0,N1,5862.0,6042.0,180.0,484.0,27.0
60,2.0,10.0,11.0,T1,6282.0,7052.0,770.0,0.0,11.0
61,7.0,11.0,7.0,R1,5396.0,5886.0,490.0,0.0,21.0
62,8.0,8.0,8.0,F1,5964.0,6524.0,560.0,0.0,32.0
63,8.0,9.0,8.0,R1,6556.0,7196.0,640.0,0.0,16.0
64,5.0,11.0,9.0,K1,6069.0,6249.0,180.0,0.0,36.0
65,3.0,8.0,12.0,S1,5666.0,5906.0,240.0,0.0,84.0
66,6.0,8.0,6.0,A2,3713.0,4073.0,360.0,0.0,24.0
67,1.0,6.0,10.0,P2,5057.0,5857.0,800.0,199.0,60.0
68,7.0,12.0,7.0,S1,5907.0,6537.0,630.0,0.0,7.0
69,3.0,9.0,12.0,I2,6194.0,6914.0,720.0,204.0,24.0
70,5.0,12.0,9.0,A3,6285.0,6735.0,450.0,0.0,81.0
71,6.0,9.0,6.0,M2,4097.0,4517.0,420.0,0.0,24.0
72,7.0,13.0,7.0,T1,7052.0,7612.0,560.0,508.0,0.0
73,1.0,7.0,10.0,G1,5917.0,6817.0,900.0,0.0,20.0
74,2.0,11.0,11.0,S1,7063.0,7503.0,440.0,0.0,44.0
75,5.0,13.0,9.0,T1,7612.0,7702.0,90.0,796.0,54.0
76,2.0,12.0,11.0,K1,7547.0,7657.0,110.0,0.0,0.0
77,3.0,10.0,12.0,J1,6938.0,7658.0,720.0,0.0,72.0
78,8.0,10.0,8.0,O2,7212.0,7612.0,400.0,0.0,16.0
79,8.0,11.0,8.0,N1,7628.0,7948.0,320.0,0.0,48.0
80,5.0,14.0,9.0,J1,7756.0,7936.0,180.0,0.0,0.0
81,8.0,12.0,8.0,M1,7996.0,8236.0,240.0,0.0,8.0
82,8.0,13.0,8.0,P2,8244.0,8324.0,80.0,0.0,8.0
83,6.0,10.0,6.0,F1,6524.0,7004.0,480.0,1983.0,0.0
84,8.0,14.0,8.0,T1,8332.0,8412.0,80.0,0.0,0.0
85,3.0,11.0,12.0,T1,8412.0,9252.0,840.0,682.0,0.0
86,1.0,8.0,10.0,E2,6837.0,6937.0,100.0,0.0,40.0
87,1.0,9.0,10.0,H1,6977.0,7677.0,700.0,0.0,0.0
88,4.0,10.0,7.0,L2,5897.0,6527.0,630.0,0.0,0.0
