,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
1,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,50.0
2,2.0,2.0,11.0,D2,1067.0,1507.0,440.0,0.0,33.0
3,3.0,2.0,12.0,C1,168.0,1008.0,840.0,0.0,60.0
4,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,28.0
5,2.0,3.0,11.0,M1,1540.0,1650.0,110.0,0.0,11.0
6,6.0,1.0,6.0,D2,1507.0,1627.0,120.0,507.0,24.0
7,6.0,2.0,6.0,G1,1651.0,1831.0,180.0,0.0,24.0
8,2.0,4.0,11.0,P2,1661.0,2431.0,770.0,0.0,88.0
9,5.0,2.0,9.0,C1,1008.0,1728.0,720.0,639.0,27.0
10,7.0,2.0,7.0,D3,1308.0,1518.0,210.0,0.0,56.0
11,2.0,5.0,11.0,Q1,2519.0,2849.0,330.0,0.0,33.0
12,3.0,3.0,12.0,E1,1068.0,1788.0,720.0,0.0,36.0
13,7.0,3.0,7.0,E1,1788.0,2138.0,350.0,214.0,28.0
14,1.0,3.0,10.0,M3,1750.0,2650.0,900.0,0.0,10.0
15,7.0,4.0,7.0,G2,2166.0,2376.0,210.0,0.0,35.0
16,7.0,5.0,7.0,I1,2411.0,2971.0,560.0,0.0,21.0
17,6.0,3.0,6.0,Q3,1855.0,2395.0,540.0,0.0,30.0
18,2.0,6.0,11.0,R1,2882.0,3432.0,550.0,0.0,44.0
19,1.0,4.0,10.0,N1,2660.0,3160.0,500.0,0.0,60.0
20,5.0,3.0,9.0,L1,1755.0,1935.0,180.0,0.0,18.0
21,8.0,1.0,8.0,C1,1728.0,2448.0,720.0,728.0,8.0
22,3.0,4.0,12.0,G1,1831.0,2671.0,840.0,7.0,60.0
23,8.0,2.0,8.0,B1,2456.0,2936.0,480.0,0.0,32.0
24,6.0,4.0,6.0,T1,2425.0,2665.0,240.0,0.0,24.0
25,2.0,7.0,11.0,G2,3476.0,4026.0,550.0,0.0,22.0
26,8.0,3.0,8.0,D3,2968.0,3688.0,720.0,0.0,56.0
27,7.0,6.0,7.0,J1,2992.0,3202.0,210.0,0.0,21.0
28,5.0,4.0,9.0,P1,1953.0,2493.0,540.0,0.0,9.0
29,3.0,5.0,12.0,R3,2731.0,3331.0,600.0,0.0,24.0
30,5.0,5.0,9.0,S1,2502.0,2682.0,180.0,0.0,36.0
31,1.0,5.0,10.0,D1,3220.0,3320.0,100.0,0.0,40.0
32,8.0,4.0,8.0,A1,3744.0,4224.0,480.0,0.0,16.0
33,4.0,2.0,7.0,C1,2448.0,2518.0,70.0,1797.0,7.0
34,4.0,3.0,7.0,B1,2936.0,3006.0,70.0,411.0,14.0
35,8.0,5.0,8.0,E2,4240.0,4560.0,320.0,0.0,48.0
36,2.0,8.0,11.0,F1,4048.0,4928.0,880.0,0.0,22.0
37,4.0,4.0,7.0,G2,4026.0,4166.0,140.0,1006.0,28.0
38,1.0,6.0,10.0,P1,3360.0,3460.0,100.0,0.0,40.0
39,8.0,6.0,8.0,H3,4608.0,4848.0,240.0,0.0,56.0
40,8.0,7.0,8.0,I2,4904.0,5624.0,720.0,0.0,16.0
41,1.0,7.0,10.0,G2,4166.0,4766.0,600.0,666.0,30.0
42,4.0,5.0,7.0,E1,4194.0,4684.0,490.0,0.0,42.0
43,7.0,7.0,7.0,L2,3223.0,3573.0,350.0,0.0,14.0
44,3.0,6.0,12.0,L1,3355.0,4195.0,840.0,0.0,24.0
45,6.0,5.0,6.0,L1,4195.0,4375.0,180.0,1506.0,12.0
46,2.0,9.0,11.0,I2,5624.0,6064.0,440.0,674.0,88.0
47,4.0,6.0,7.0,D1,4726.0,5216.0,490.0,0.0,28.0
48,7.0,8.0,7.0,K1,3587.0,4147.0,560.0,0.0,14.0
49,7.0,9.0,7.0,O3,4161.0,4511.0,350.0,0.0,7.0
50,4.0,7.0,7.0,P1,5244.0,5384.0,140.0,0.0,7.0
51,7.0,10.0,7.0,P1,5384.0,5664.0,280.0,866.0,21.0
52,3.0,7.0,12.0,M1,4219.0,4459.0,240.0,0.0,36.0
53,5.0,6.0,9.0,H1,2718.0,3168.0,450.0,0.0,18.0
54,4.0,8.0,7.0,O3,5391.0,5951.0,560.0,0.0,21.0
55,1.0,8.0,10.0,E2,4796.0,4896.0,100.0,0.0,60.0
56,8.0,8.0,8.0,F1,5640.0,6200.0,560.0,0.0,48.0
57,7.0,11.0,7.0,R2,5685.0,5755.0,70.0,0.0,14.0
58,3.0,8.0,12.0,S1,4495.0,4735.0,240.0,0.0,72.0
59,3.0,9.0,12.0,I3,4807.0,4927.0,120.0,0.0,12.0
60,4.0,9.0,7.0,N1,5972.0,6602.0,630.0,0.0,28.0
61,5.0,7.0,9.0,G1,3186.0,3816.0,630.0,0.0,27.0
62,2.0,10.0,11.0,T1,6152.0,6922.0,770.0,0.0,11.0
63,6.0,6.0,6.0,O2,4387.0,4627.0,240.0,0.0,18.0
64,6.0,7.0,6.0,I3,4927.0,5257.0,330.0,312.0,18.0
65,6.0,8.0,6.0,A2,5275.0,5635.0,360.0,0.0,24.0
66,5.0,8.0,9.0,E1,4684.0,5494.0,810.0,841.0,54.0
67,3.0,10.0,12.0,J1,4939.0,5659.0,720.0,0.0,72.0
68,5.0,9.0,9.0,O2,5548.0,6358.0,810.0,0.0,18.0
69,1.0,9.0,10.0,H3,4956.0,5256.0,300.0,0.0,0.0
70,5.0,10.0,9.0,N1,6602.0,6782.0,180.0,226.0,27.0
71,6.0,9.0,6.0,M2,5659.0,6079.0,420.0,0.0,24.0
72,2.0,11.0,11.0,S1,6933.0,7373.0,440.0,0.0,44.0
73,5.0,11.0,9.0,K1,6809.0,6989.0,180.0,0.0,36.0
74,5.0,12.0,9.0,A3,7025.0,7475.0,450.0,0.0,81.0
75,8.0,9.0,8.0,R3,6248.0,6888.0,640.0,0.0,24.0
76,4.0,10.0,7.0,L1,6630.0,6910.0,280.0,0.0,0.0
77,7.0,12.0,7.0,S1,7373.0,8003.0,630.0,1604.0,7.0
78,8.0,10.0,8.0,O1,6912.0,6992.0,80.0,0.0,8.0
79,8.0,11.0,8.0,N1,7000.0,7320.0,320.0,0.0,48.0
80,3.0,11.0,12.0,T1,6922.0,7762.0,840.0,1191.0,0.0
81,8.0,12.0,8.0,M1,7368.0,7608.0,240.0,0.0,16.0
82,8.0,13.0,8.0,P1,7624.0,7944.0,320.0,0.0,16.0
83,5.0,13.0,9.0,T1,7762.0,7852.0,90.0,206.0,54.0
84,5.0,14.0,9.0,J1,7906.0,8086.0,180.0,0.0,0.0
85,6.0,10.0,6.0,F1,6200.0,6680.0,480.0,97.0,0.0
86,8.0,14.0,8.0,T1,7960.0,8040.0,80.0,0.0,0.0
87,7.0,13.0,7.0,T1,8040.0,8600.0,560.0,30.0,0.0
88,2.0,12.0,11.0,K1,7417.0,7527.0,110.0,0.0,0.0
