,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,77.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
3,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
4,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,28.0
1,6.0,1.0,6.0,D1,1000.0,1300.0,300.0,0.0,12.0
2,3.0,2.0,12.0,C1,144.0,984.0,840.0,0.0,60.0
3,3.0,3.0,12.0,E1,1044.0,1764.0,720.0,0.0,48.0
4,7.0,2.0,7.0,D3,1308.0,1518.0,210.0,0.0,56.0
5,7.0,3.0,7.0,E1,1574.0,1924.0,350.0,0.0,21.0
6,4.0,2.0,7.0,C1,984.0,1054.0,70.0,823.0,7.0
7,5.0,2.0,9.0,C1,1054.0,1774.0,720.0,685.0,36.0
8,2.0,2.0,11.0,D2,1067.0,1507.0,440.0,0.0,33.0
9,2.0,3.0,11.0,M1,1540.0,1650.0,110.0,0.0,11.0
10,5.0,3.0,9.0,L2,1810.0,2440.0,630.0,0.0,9.0
11,4.0,3.0,7.0,B1,1061.0,1131.0,70.0,0.0,14.0
12,8.0,1.0,8.0,C1,1774.0,2494.0,720.0,774.0,8.0
13,3.0,4.0,12.0,G2,1812.0,2652.0,840.0,0.0,48.0
14,7.0,4.0,7.0,G1,1945.0,2365.0,420.0,0.0,28.0
15,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,20.0
16,8.0,2.0,8.0,B1,2502.0,2982.0,480.0,0.0,32.0
17,1.0,3.0,10.0,M1,1720.0,1920.0,200.0,0.0,60.0
18,4.0,4.0,7.0,G2,2652.0,2792.0,140.0,1507.0,28.0
19,2.0,4.0,11.0,P2,1661.0,2431.0,770.0,0.0,88.0
20,8.0,3.0,8.0,D3,3014.0,3734.0,720.0,0.0,48.0
21,5.0,4.0,9.0,P1,2449.0,2989.0,540.0,0.0,9.0
22,5.0,5.0,9.0,S1,2998.0,3178.0,180.0,0.0,36.0
23,2.0,5.0,11.0,Q1,2519.0,2849.0,330.0,0.0,44.0
24,2.0,6.0,11.0,R2,2893.0,3773.0,880.0,0.0,44.0
25,6.0,2.0,6.0,G2,2792.0,2972.0,180.0,1480.0,30.0
26,6.0,3.0,6.0,Q3,3002.0,3542.0,540.0,0.0,30.0
27,8.0,4.0,8.0,A2,3782.0,3862.0,80.0,0.0,16.0
28,7.0,5.0,7.0,I1,2393.0,2953.0,560.0,0.0,21.0
29,1.0,4.0,10.0,N1,1980.0,2480.0,500.0,0.0,70.0
30,6.0,4.0,6.0,T1,3572.0,3812.0,240.0,0.0,18.0
31,7.0,6.0,7.0,J1,2974.0,3184.0,210.0,0.0,21.0
32,5.0,6.0,9.0,H1,3214.0,3664.0,450.0,0.0,18.0
33,4.0,5.0,7.0,E1,2820.0,3310.0,490.0,0.0,42.0
34,7.0,7.0,7.0,L2,3205.0,3555.0,350.0,0.0,14.0
