,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,77.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
3,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
4,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
0,6.0,1.0,6.0,D3,1000.0,1420.0,420.0,0.0,30.0
1,3.0,2.0,12.0,C1,168.0,1008.0,840.0,0.0,48.0
2,2.0,2.0,11.0,D3,1420.0,1530.0,110.0,353.0,22.0
3,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,21.0
4,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,10.0
5,6.0,2.0,6.0,G1,1450.0,1630.0,180.0,0.0,30.0
6,3.0,3.0,12.0,E2,1056.0,2136.0,1080.0,0.0,24.0
7,2.0,3.0,11.0,M1,1552.0,1662.0,110.0,0.0,11.0
8,2.0,4.0,11.0,P2,1673.0,2443.0,770.0,0.0,88.0
9,4.0,2.0,7.0,C1,1008.0,1078.0,70.0,840.0,7.0
10,7.0,2.0,7.0,D2,1301.0,1931.0,630.0,0.0,49.0
11,2.0,5.0,11.0,Q1,2531.0,2861.0,330.0,0.0,44.0
12,1.0,3.0,10.0,M1,1662.0,1862.0,200.0,442.0,60.0
13,4.0,3.0,7.0,B1,1085.0,1155.0,70.0,0.0,14.0
14,6.0,3.0,6.0,Q2,1660.0,2200.0,540.0,0.0,36.0
15,5.0,2.0,9.0,C1,1078.0,1798.0,720.0,709.0,27.0
16,2.0,6.0,11.0,R2,2905.0,3785.0,880.0,0.0,44.0
17,3.0,4.0,12.0,G1,2160.0,3000.0,840.0,0.0,60.0
18,1.0,4.0,10.0,N1,1922.0,2422.0,500.0,0.0,70.0
19,5.0,3.0,9.0,L1,1825.0,2005.0,180.0,0.0,27.0
20,6.0,4.0,6.0,T1,2236.0,2476.0,240.0,0.0,18.0
21,4.0,4.0,7.0,G2,1169.0,1309.0,140.0,0.0,21.0
22,1.0,5.0,10.0,D2,2492.0,3192.0,700.0,0.0,30.0
23,8.0,1.0,8.0,C1,1798.0,2518.0,720.0,798.0,8.0
24,7.0,3.0,7.0,E1,1980.0,2330.0,350.0,0.0,28.0
25,8.0,2.0,8.0,B1,2526.0,3006.0,480.0,0.0,24.0
26,7.0,4.0,7.0,G2,2358.0,2568.0,210.0,0.0,35.0
27,7.0,5.0,7.0,I1,2603.0,3163.0,560.0,0.0,21.0
28,6.0,5.0,6.0,L2,2494.0,2854.0,360.0,0.0,24.0
29,6.0,6.0,6.0,O1,2878.0,3238.0,360.0,0.0,18.0
30,3.0,5.0,12.0,R3,3060.0,3660.0,600.0,0.0,24.0
31,5.0,4.0,9.0,P2,2443.0,2983.0,540.0,411.0,18.0
32,1.0,6.0,10.0,P1,3222.0,3322.0,100.0,0.0,50.0
33,5.0,5.0,9.0,S1,3001.0,3181.0,180.0,0.0,36.0
34,3.0,6.0,12.0,L1,3684.0,4524.0,840.0,0.0,72.0
