,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
1,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
3,2.0,1.0,11.0,E1,0.0,880.0,880.0,0.0,66.0
0,6.0,1.0,6.0,D2,1000.0,1120.0,120.0,0.0,24.0
1,3.0,1.0,12.0,A1,630.0,750.0,120.0,630.0,48.0
2,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,27.0
3,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,50.0
4,6.0,2.0,6.0,G1,1144.0,1324.0,180.0,0.0,36.0
5,6.0,3.0,6.0,Q1,1360.0,1420.0,60.0,0.0,42.0
6,5.0,3.0,9.0,L1,1700.0,1880.0,180.0,584.0,18.0
7,5.0,4.0,9.0,P1,1898.0,2438.0,540.0,0.0,9.0
8,4.0,2.0,7.0,C1,1089.0,1159.0,70.0,431.0,7.0
9,8.0,1.0,8.0,C1,1159.0,1879.0,720.0,159.0,8.0
10,5.0,5.0,9.0,S1,2447.0,2627.0,180.0,0.0,27.0
11,1.0,3.0,10.0,M3,1750.0,2650.0,900.0,0.0,10.0
12,3.0,2.0,12.0,C1,1879.0,2719.0,840.0,1081.0,48.0
13,4.0,3.0,7.0,B1,1166.0,1236.0,70.0,0.0,14.0
14,6.0,4.0,6.0,T1,1462.0,1702.0,240.0,0.0,18.0
15,2.0,2.0,11.0,D2,1120.0,1560.0,440.0,174.0,99.0
16,3.0,3.0,12.0,E2,2767.0,3847.0,1080.0,0.0,36.0
17,5.0,6.0,9.0,H2,2654.0,3104.0,450.0,0.0,27.0
18,7.0,1.0,7.0,B1,1236.0,1516.0,280.0,236.0,28.0
19,7.0,2.0,7.0,D3,1544.0,1754.0,210.0,0.0,56.0
20,2.0,3.0,11.0,M2,1659.0,2429.0,770.0,0.0,66.0
21,7.0,3.0,7.0,E1,1810.0,2160.0,350.0,0.0,21.0
22,6.0,5.0,6.0,L2,1720.0,2080.0,360.0,0.0,12.0
23,8.0,2.0,8.0,B1,1887.0,2367.0,480.0,0.0,32.0
24,7.0,4.0,7.0,G1,2181.0,2601.0,420.0,0.0,28.0
25,7.0,5.0,7.0,I1,2629.0,3189.0,560.0,0.0,21.0
26,2.0,4.0,11.0,P1,2495.0,3045.0,550.0,0.0,66.0
27,7.0,6.0,7.0,J1,3210.0,3420.0,210.0,0.0,14.0
28,2.0,5.0,11.0,Q2,3111.0,3771.0,660.0,0.0,22.0
29,8.0,3.0,8.0,D3,2399.0,3119.0,720.0,0.0,56.0
30,7.0,7.0,7.0,L1,3434.0,4064.0,630.0,0.0,7.0
31,1.0,4.0,10.0,N1,2660.0,3160.0,500.0,0.0,70.0
32,4.0,4.0,7.0,G2,1250.0,1390.0,140.0,0.0,28.0
33,1.0,5.0,10.0,D2,3230.0,3930.0,700.0,0.0,40.0
34,5.0,7.0,9.0,G1,3131.0,3761.0,630.0,0.0,18.0
35,7.0,8.0,7.0,K1,4071.0,4631.0,560.0,0.0,14.0
36,4.0,5.0,7.0,E1,2160.0,2650.0,490.0,742.0,56.0
37,5.0,8.0,9.0,E2,3847.0,4567.0,720.0,68.0,36.0
38,6.0,6.0,6.0,O3,2092.0,2332.0,240.0,0.0,24.0
39,7.0,9.0,7.0,O1,4645.0,4715.0,70.0,0.0,21.0
40,6.0,7.0,6.0,I3,2356.0,2656.0,300.0,0.0,12.0
41,1.0,6.0,10.0,P2,4000.0,4800.0,800.0,30.0,50.0
42,3.0,4.0,12.0,G2,3883.0,4723.0,840.0,0.0,48.0
43,6.0,8.0,6.0,A3,2668.0,3028.0,360.0,0.0,24.0
44,8.0,4.0,8.0,A1,3175.0,3655.0,480.0,0.0,8.0
45,1.0,7.0,10.0,G2,4850.0,5450.0,600.0,0.0,30.0
46,6.0,9.0,6.0,M3,3052.0,3292.0,240.0,0.0,18.0
47,7.0,10.0,7.0,P1,4736.0,5016.0,280.0,0.0,14.0
48,6.0,10.0,6.0,F1,3310.0,3790.0,480.0,0.0,0.0
49,5.0,9.0,9.0,O1,4715.0,5525.0,810.0,112.0,9.0
50,8.0,5.0,8.0,E1,3663.0,4063.0,400.0,0.0,48.0
51,2.0,6.0,11.0,R1,3793.0,4343.0,550.0,0.0,33.0
52,5.0,10.0,9.0,N1,5534.0,5714.0,180.0,0.0,27.0
53,5.0,11.0,9.0,K1,5741.0,5921.0,180.0,0.0,45.0
54,5.0,12.0,9.0,A2,5966.0,6686.0,720.0,0.0,90.0
55,2.0,7.0,11.0,G1,4376.0,4926.0,550.0,0.0,11.0
56,5.0,13.0,9.0,T1,6776.0,6866.0,90.0,0.0,54.0
57,8.0,6.0,8.0,H2,4111.0,4751.0,640.0,0.0,40.0
58,8.0,7.0,8.0,I3,4791.0,5351.0,560.0,0.0,8.0
59,5.0,14.0,9.0,J1,6920.0,7100.0,180.0,0.0,0.0
60,7.0,11.0,7.0,R3,5030.0,5450.0,420.0,0.0,7.0
61,3.0,5.0,12.0,R1,4771.0,5611.0,840.0,0.0,48.0
62,8.0,8.0,8.0,F1,5359.0,5919.0,560.0,0.0,48.0
63,8.0,9.0,8.0,R3,5967.0,6607.0,640.0,0.0,16.0
64,3.0,6.0,12.0,L1,5659.0,6499.0,840.0,0.0,72.0
65,3.0,7.0,12.0,M2,6571.0,7411.0,840.0,0.0,84.0
66,2.0,8.0,11.0,F1,5919.0,6799.0,880.0,982.0,11.0
67,7.0,12.0,7.0,S1,5457.0,6087.0,630.0,0.0,7.0
68,8.0,10.0,8.0,O2,6623.0,7023.0,400.0,0.0,16.0
69,4.0,6.0,7.0,D3,3119.0,3469.0,350.0,413.0,28.0
70,1.0,8.0,10.0,E2,5480.0,5580.0,100.0,0.0,60.0
71,3.0,8.0,12.0,S1,7495.0,7735.0,240.0,0.0,72.0
72,8.0,11.0,8.0,N1,7039.0,7359.0,320.0,0.0,48.0
73,2.0,9.0,11.0,I3,6810.0,7690.0,880.0,0.0,77.0
74,7.0,13.0,7.0,T1,6866.0,7426.0,560.0,772.0,0.0
75,2.0,10.0,11.0,T1,7767.0,8537.0,770.0,0.0,11.0
76,4.0,7.0,7.0,P1,5016.0,5156.0,140.0,1519.0,21.0
77,4.0,8.0,7.0,O1,5525.0,5665.0,140.0,348.0,7.0
78,3.0,9.0,12.0,I3,7807.0,7927.0,120.0,0.0,12.0
79,8.0,12.0,8.0,M1,7407.0,7647.0,240.0,0.0,16.0
80,4.0,9.0,7.0,N1,7359.0,7989.0,630.0,1687.0,35.0
81,8.0,13.0,8.0,P1,7663.0,7983.0,320.0,0.0,16.0
82,8.0,14.0,8.0,T1,8537.0,8617.0,80.0,538.0,0.0
