,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
1,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
2,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,21.0
3,7.0,2.0,7.0,D2,1301.0,1931.0,630.0,0.0,42.0
4,7.0,3.0,7.0,E2,1973.0,2533.0,560.0,0.0,21.0
5,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,20.0
6,8.0,1.0,8.0,C1,1089.0,1809.0,720.0,89.0,8.0
7,3.0,2.0,12.0,C1,1809.0,2649.0,840.0,1641.0,60.0
8,7.0,4.0,7.0,G2,2554.0,2764.0,210.0,0.0,35.0
9,3.0,3.0,12.0,E1,2709.0,3429.0,720.0,0.0,36.0
10,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,9.0
11,8.0,2.0,8.0,B1,1817.0,2297.0,480.0,0.0,24.0
12,6.0,1.0,6.0,D2,1931.0,2051.0,120.0,931.0,18.0
13,3.0,4.0,12.0,G1,3465.0,4305.0,840.0,0.0,36.0
14,2.0,2.0,11.0,D1,1056.0,1716.0,660.0,0.0,88.0
15,7.0,5.0,7.0,I1,2799.0,3359.0,560.0,0.0,21.0
16,2.0,3.0,11.0,M2,1804.0,2574.0,770.0,0.0,66.0
17,5.0,4.0,9.0,P1,1764.0,2304.0,540.0,0.0,9.0
18,8.0,3.0,8.0,D2,2321.0,2481.0,160.0,0.0,48.0
19,5.0,5.0,9.0,S1,2313.0,2493.0,180.0,0.0,36.0
20,2.0,4.0,11.0,P1,2640.0,3190.0,550.0,0.0,66.0
21,7.0,6.0,7.0,J1,3380.0,3590.0,210.0,0.0,14.0
22,1.0,3.0,10.0,M1,1720.0,1920.0,200.0,0.0,60.0
23,2.0,5.0,11.0,Q2,3256.0,3916.0,660.0,0.0,22.0
24,4.0,2.0,7.0,C1,2649.0,2719.0,70.0,1991.0,7.0
25,7.0,7.0,7.0,L1,3634.0,4264.0,630.0,30.0,7.0
26,5.0,6.0,9.0,H3,2529.0,2709.0,180.0,0.0,27.0
27,6.0,2.0,6.0,G2,2764.0,2944.0,180.0,695.0,42.0
28,4.0,3.0,7.0,B1,2726.0,2796.0,70.0,0.0,14.0
29,8.0,4.0,8.0,A1,2529.0,3009.0,480.0,0.0,16.0
30,4.0,4.0,7.0,G2,2944.0,3084.0,140.0,134.0,28.0
31,4.0,5.0,7.0,E1,3429.0,3919.0,490.0,317.0,42.0
32,5.0,7.0,9.0,G2,3084.0,3714.0,630.0,348.0,27.0
33,8.0,5.0,8.0,E2,3025.0,3345.0,320.0,0.0,32.0
34,8.0,6.0,8.0,H1,3377.0,3617.0,240.0,0.0,32.0
35,8.0,7.0,8.0,I3,3649.0,4209.0,560.0,0.0,8.0
36,1.0,4.0,10.0,N1,1980.0,2480.0,500.0,0.0,80.0
37,7.0,8.0,7.0,K1,4271.0,4831.0,560.0,0.0,7.0
38,6.0,3.0,6.0,Q1,2986.0,3046.0,60.0,0.0,42.0
39,2.0,6.0,11.0,R1,3938.0,4488.0,550.0,0.0,33.0
40,6.0,4.0,6.0,T1,3088.0,3328.0,240.0,0.0,24.0
41,3.0,5.0,12.0,R1,4488.0,5328.0,840.0,147.0,60.0
42,7.0,9.0,7.0,O2,4838.0,5048.0,210.0,0.0,14.0
43,3.0,6.0,12.0,L2,5388.0,6228.0,840.0,0.0,84.0
44,2.0,7.0,11.0,G1,4521.0,5071.0,550.0,0.0,11.0
45,3.0,7.0,12.0,M2,6312.0,7152.0,840.0,0.0,84.0
46,1.0,5.0,10.0,D3,2590.0,3390.0,800.0,30.0,40.0
47,4.0,6.0,7.0,D1,3961.0,4451.0,490.0,0.0,28.0
48,2.0,8.0,11.0,F1,5082.0,5962.0,880.0,0.0,11.0
49,5.0,8.0,9.0,E2,3741.0,4461.0,720.0,0.0,54.0
50,8.0,8.0,8.0,F1,5962.0,6522.0,560.0,1745.0,48.0
51,6.0,5.0,6.0,L1,4264.0,4444.0,180.0,912.0,12.0
52,6.0,6.0,6.0,O2,5048.0,5288.0,240.0,592.0,30.0
53,1.0,6.0,10.0,P1,3430.0,3530.0,100.0,0.0,40.0
54,8.0,9.0,8.0,R3,6570.0,7210.0,640.0,0.0,8.0
55,5.0,9.0,9.0,O3,4515.0,4785.0,270.0,0.0,27.0
56,2.0,9.0,11.0,I3,5973.0,6853.0,880.0,0.0,77.0
57,7.0,10.0,7.0,P1,5062.0,5342.0,280.0,0.0,21.0
58,7.0,11.0,7.0,R2,5363.0,5433.0,70.0,0.0,14.0
59,4.0,7.0,7.0,P1,5342.0,5482.0,140.0,863.0,21.0
60,7.0,12.0,7.0,S1,5447.0,6077.0,630.0,0.0,7.0
61,6.0,7.0,6.0,I1,5318.0,5738.0,420.0,0.0,18.0
62,6.0,8.0,6.0,A2,5756.0,6116.0,360.0,0.0,18.0
63,1.0,7.0,10.0,G2,3714.0,4314.0,600.0,144.0,30.0
64,4.0,8.0,7.0,O1,5503.0,5643.0,140.0,0.0,7.0
65,4.0,9.0,7.0,N1,5650.0,6280.0,630.0,0.0,35.0
66,5.0,10.0,9.0,N1,6280.0,6460.0,180.0,1468.0,27.0
67,6.0,9.0,6.0,M3,6134.0,6374.0,240.0,0.0,18.0
68,5.0,11.0,9.0,K1,6487.0,6667.0,180.0,0.0,36.0
69,7.0,13.0,7.0,T1,6084.0,6644.0,560.0,0.0,0.0
70,5.0,12.0,9.0,A3,6703.0,7153.0,450.0,0.0,81.0
71,3.0,8.0,12.0,S1,7236.0,7476.0,240.0,0.0,72.0
72,3.0,9.0,12.0,I3,7548.0,7668.0,120.0,0.0,12.0
73,8.0,10.0,8.0,O3,7218.0,7298.0,80.0,0.0,24.0
74,2.0,10.0,11.0,T1,6930.0,7700.0,770.0,0.0,11.0
75,2.0,11.0,11.0,S1,7711.0,8151.0,440.0,0.0,44.0
76,8.0,11.0,8.0,N1,7352.0,7672.0,320.0,30.0,48.0
77,2.0,12.0,11.0,K1,8195.0,8305.0,110.0,0.0,0.0
78,8.0,12.0,8.0,M1,7720.0,7960.0,240.0,0.0,16.0
79,3.0,10.0,12.0,J1,7680.0,8400.0,720.0,0.0,72.0
80,6.0,10.0,6.0,F1,6522.0,7002.0,480.0,130.0,0.0
81,1.0,8.0,10.0,E2,4461.0,4561.0,100.0,117.0,40.0
82,5.0,13.0,9.0,T1,7700.0,7790.0,90.0,466.0,54.0
83,5.0,14.0,9.0,J1,8400.0,8580.0,180.0,556.0,0.0
84,8.0,13.0,8.0,P1,7976.0,8296.0,320.0,0.0,16.0
85,8.0,14.0,8.0,T1,8312.0,8392.0,80.0,0.0,0.0
86,4.0,10.0,7.0,L2,6315.0,6945.0,630.0,0.0,0.0
87,1.0,9.0,10.0,H1,4601.0,5301.0,700.0,0.0,0.0
88,3.0,11.0,12.0,T1,8472.0,9312.0,840.0,0.0,0.0
