,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
1,1.0,1.0,10.0,B1,0.0,600.0,600.0,0.0,50.0
2,4.0,2.0,7.0,C1,154.0,224.0,70.0,0.0,7.0
3,4.0,3.0,7.0,B1,600.0,670.0,70.0,369.0,14.0
4,1.0,2.0,10.0,L2,650.0,850.0,200.0,0.0,60.0
5,4.0,4.0,7.0,G2,684.0,824.0,140.0,0.0,21.0
6,2.0,1.0,11.0,E1,0.0,880.0,880.0,0.0,88.0
0,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,3.0,2.0,12.0,C1,168.0,1008.0,840.0,0.0,60.0
3,3.0,3.0,12.0,E1,1068.0,1788.0,720.0,0.0,36.0
4,6.0,1.0,6.0,D1,1000.0,1300.0,300.0,0.0,12.0
5,3.0,4.0,12.0,G1,1824.0,2664.0,840.0,0.0,48.0
6,2.0,2.0,11.0,D1,1300.0,1960.0,660.0,365.0,44.0
7,3.0,5.0,12.0,R2,2712.0,3552.0,840.0,0.0,48.0
8,3.0,6.0,12.0,L2,3600.0,4440.0,840.0,0.0,12.0
9,2.0,3.0,11.0,M1,2004.0,2114.0,110.0,0.0,11.0
10,5.0,2.0,9.0,C1,1008.0,1728.0,720.0,639.0,27.0
11,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,14.0
12,5.0,3.0,9.0,L1,1755.0,1935.0,180.0,0.0,18.0
13,5.0,4.0,9.0,P1,1953.0,2493.0,540.0,0.0,9.0
14,2.0,4.0,11.0,P2,2125.0,2895.0,770.0,0.0,66.0
15,6.0,2.0,6.0,G2,1312.0,1492.0,180.0,0.0,36.0
16,7.0,2.0,7.0,D1,1960.0,2520.0,560.0,666.0,35.0
17,8.0,1.0,8.0,C1,1728.0,2448.0,720.0,728.0,8.0
18,8.0,2.0,8.0,B1,2456.0,2936.0,480.0,0.0,32.0
19,8.0,3.0,8.0,D3,2968.0,3688.0,720.0,0.0,56.0
20,6.0,3.0,6.0,Q2,1528.0,2068.0,540.0,0.0,36.0
21,2.0,5.0,11.0,Q3,2961.0,3401.0,440.0,0.0,22.0
22,5.0,5.0,9.0,S1,2502.0,2682.0,180.0,0.0,36.0
23,3.0,7.0,12.0,M1,4452.0,4692.0,240.0,0.0,36.0
24,2.0,6.0,11.0,R2,3552.0,4432.0,880.0,129.0,44.0
25,8.0,4.0,8.0,A1,3744.0,4224.0,480.0,0.0,16.0
26,6.0,4.0,6.0,T1,2104.0,2344.0,240.0,0.0,18.0
27,8.0,5.0,8.0,E2,4240.0,4560.0,320.0,0.0,32.0
28,2.0,7.0,11.0,G1,4476.0,5026.0,550.0,0.0,11.0
29,2.0,8.0,11.0,F1,5037.0,5917.0,880.0,0.0,11.0
30,8.0,6.0,8.0,H1,4592.0,4832.0,240.0,0.0,48.0
31,7.0,3.0,7.0,E2,4560.0,5120.0,560.0,2005.0,21.0
32,5.0,6.0,9.0,H1,4832.0,5282.0,450.0,2114.0,18.0
33,3.0,8.0,12.0,S1,4728.0,4968.0,240.0,0.0,72.0
34,5.0,7.0,9.0,G1,5300.0,5930.0,630.0,0.0,18.0
35,5.0,8.0,9.0,E2,5948.0,6668.0,720.0,0.0,54.0
36,1.0,3.0,10.0,M3,910.0,1810.0,900.0,0.0,10.0
37,6.0,5.0,6.0,L2,2362.0,2722.0,360.0,0.0,24.0
38,1.0,4.0,10.0,N1,1820.0,2320.0,500.0,0.0,70.0
39,7.0,4.0,7.0,G2,5141.0,5351.0,210.0,0.0,35.0
40,4.0,5.0,7.0,E1,1788.0,2278.0,490.0,943.0,56.0
41,1.0,5.0,10.0,D2,2390.0,3090.0,700.0,0.0,30.0
42,5.0,9.0,9.0,O3,6722.0,6992.0,270.0,0.0,27.0
43,8.0,7.0,8.0,I1,4880.0,5120.0,240.0,0.0,24.0
44,7.0,5.0,7.0,I1,5386.0,5946.0,560.0,0.0,21.0
45,8.0,8.0,8.0,F1,5917.0,6477.0,560.0,773.0,32.0
