,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,77.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
3,4.0,1.0,7.0,A3,0.0,140.0,140.0,0.0,14.0
4,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,28.0
1,6.0,1.0,6.0,D1,1000.0,1300.0,300.0,0.0,18.0
2,7.0,2.0,7.0,D3,1308.0,1518.0,210.0,0.0,56.0
3,7.0,3.0,7.0,E1,1574.0,1924.0,350.0,0.0,28.0
4,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
5,6.0,2.0,6.0,G1,1318.0,1498.0,180.0,0.0,24.0
6,4.0,2.0,7.0,C1,1089.0,1159.0,70.0,928.0,7.0
7,5.0,3.0,9.0,L2,1125.0,1755.0,630.0,0.0,9.0
8,5.0,4.0,9.0,P1,1764.0,2304.0,540.0,0.0,9.0
9,2.0,2.0,11.0,D1,1300.0,1960.0,660.0,255.0,44.0
10,7.0,4.0,7.0,G2,1952.0,2162.0,210.0,0.0,21.0
11,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,60.0
12,4.0,3.0,7.0,B1,1166.0,1236.0,70.0,0.0,7.0
13,7.0,5.0,7.0,I3,2183.0,2463.0,280.0,0.0,7.0
14,1.0,3.0,10.0,M2,1760.0,1860.0,100.0,0.0,20.0
15,2.0,3.0,11.0,M1,2004.0,2114.0,110.0,0.0,11.0
16,1.0,4.0,10.0,N1,1880.0,2380.0,500.0,0.0,60.0
17,3.0,2.0,12.0,C1,1159.0,1999.0,840.0,1015.0,60.0
18,3.0,3.0,12.0,E1,2059.0,2779.0,720.0,0.0,48.0
19,4.0,4.0,7.0,G1,1498.0,2128.0,630.0,255.0,14.0
20,7.0,6.0,7.0,J1,2470.0,2680.0,210.0,0.0,14.0
21,2.0,4.0,11.0,P2,2125.0,2895.0,770.0,0.0,88.0
22,6.0,3.0,6.0,Q3,1522.0,2062.0,540.0,0.0,30.0
23,7.0,7.0,7.0,L1,2694.0,3324.0,630.0,0.0,7.0
24,8.0,1.0,8.0,C1,1999.0,2719.0,720.0,999.0,8.0
25,7.0,8.0,7.0,K1,3331.0,3891.0,560.0,0.0,14.0
26,4.0,5.0,7.0,E2,2142.0,2632.0,490.0,0.0,42.0
27,8.0,2.0,8.0,B1,2727.0,3207.0,480.0,0.0,16.0
28,2.0,5.0,11.0,Q1,2983.0,3313.0,330.0,0.0,33.0
29,5.0,5.0,9.0,S1,2313.0,2493.0,180.0,0.0,36.0
30,5.0,6.0,9.0,H1,2529.0,2979.0,450.0,0.0,18.0
31,6.0,4.0,6.0,T1,2092.0,2332.0,240.0,0.0,18.0
32,5.0,7.0,9.0,G1,2997.0,3627.0,630.0,0.0,18.0
33,5.0,8.0,9.0,E2,3645.0,4365.0,720.0,0.0,54.0
34,8.0,3.0,8.0,D1,3223.0,3703.0,480.0,0.0,40.0
