,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,4.0,1.0,7.0,A1,0.0,630.0,630.0,0.0,28.0
1,2.0,1.0,11.0,E2,0.0,990.0,990.0,0.0,66.0
2,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
3,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
0,7.0,1.0,7.0,B1,1000.0,1280.0,280.0,0.0,14.0
1,2.0,2.0,11.0,D2,1067.0,1507.0,440.0,0.0,88.0
2,6.0,1.0,6.0,D3,1000.0,1420.0,420.0,0.0,24.0
3,2.0,3.0,11.0,M3,1595.0,2145.0,550.0,0.0,55.0
4,2.0,4.0,11.0,P1,2200.0,2750.0,550.0,0.0,77.0
5,1.0,2.0,10.0,L2,1010.0,1210.0,200.0,0.0,10.0
6,5.0,2.0,9.0,C1,369.0,1089.0,720.0,0.0,36.0
7,8.0,1.0,8.0,C1,1089.0,1809.0,720.0,89.0,8.0
8,7.0,2.0,7.0,D1,1294.0,1854.0,560.0,0.0,42.0
9,2.0,5.0,11.0,Q1,2827.0,3157.0,330.0,0.0,33.0
10,4.0,2.0,7.0,C1,1809.0,1879.0,70.0,1158.0,7.0
11,7.0,3.0,7.0,E1,1896.0,2246.0,350.0,0.0,21.0
12,6.0,2.0,6.0,G2,1444.0,1624.0,180.0,0.0,42.0
13,7.0,4.0,7.0,G1,2267.0,2687.0,420.0,0.0,14.0
14,5.0,3.0,9.0,L2,1210.0,1840.0,630.0,85.0,18.0
15,6.0,3.0,6.0,Q1,3157.0,3217.0,60.0,1491.0,42.0
16,6.0,4.0,6.0,T1,3259.0,3499.0,240.0,0.0,18.0
17,8.0,2.0,8.0,B1,1817.0,2297.0,480.0,0.0,24.0
18,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
19,4.0,3.0,7.0,B1,2297.0,2367.0,70.0,411.0,14.0
20,5.0,4.0,9.0,P2,1858.0,2398.0,540.0,0.0,18.0
21,3.0,2.0,12.0,C1,1879.0,2719.0,840.0,1711.0,60.0
22,7.0,5.0,7.0,I3,2701.0,2981.0,280.0,0.0,7.0
23,5.0,5.0,9.0,S1,2416.0,2596.0,180.0,0.0,36.0
24,1.0,3.0,10.0,M1,1220.0,1420.0,200.0,0.0,60.0
25,1.0,4.0,10.0,N1,1480.0,1980.0,500.0,0.0,80.0
26,2.0,6.0,11.0,R1,3190.0,3740.0,550.0,0.0,33.0
27,1.0,5.0,10.0,D3,2060.0,2860.0,800.0,0.0,30.0
28,7.0,6.0,7.0,J1,2988.0,3198.0,210.0,0.0,21.0
29,8.0,3.0,8.0,D2,2321.0,2481.0,160.0,0.0,48.0
30,1.0,6.0,10.0,P2,2890.0,3690.0,800.0,0.0,60.0
31,2.0,7.0,11.0,G1,3773.0,4323.0,550.0,0.0,11.0
32,8.0,4.0,8.0,A1,2529.0,3009.0,480.0,0.0,16.0
33,4.0,4.0,7.0,G2,2381.0,2521.0,140.0,0.0,21.0
34,7.0,7.0,7.0,L2,3219.0,3569.0,350.0,0.0,14.0
35,2.0,8.0,11.0,F1,4334.0,5214.0,880.0,0.0,22.0
36,7.0,8.0,7.0,K1,3583.0,4143.0,560.0,0.0,7.0
37,5.0,6.0,9.0,H1,2632.0,3082.0,450.0,0.0,18.0
38,5.0,7.0,9.0,G1,4323.0,4953.0,630.0,1223.0,27.0
39,8.0,5.0,8.0,E2,3025.0,3345.0,320.0,0.0,40.0
40,8.0,6.0,8.0,H2,3385.0,4025.0,640.0,0.0,40.0
41,3.0,3.0,12.0,E1,2779.0,3499.0,720.0,0.0,48.0
42,4.0,5.0,7.0,E2,3345.0,3835.0,490.0,803.0,49.0
43,7.0,9.0,7.0,O2,4150.0,4360.0,210.0,0.0,14.0
44,3.0,4.0,12.0,G2,3547.0,4387.0,840.0,0.0,36.0
45,8.0,7.0,8.0,I3,4065.0,4625.0,560.0,0.0,8.0
46,2.0,9.0,11.0,I2,5236.0,5676.0,440.0,0.0,88.0
47,6.0,5.0,6.0,L2,3569.0,3929.0,360.0,52.0,12.0
48,6.0,6.0,6.0,O3,3941.0,4181.0,240.0,0.0,36.0
49,6.0,7.0,6.0,I1,4217.0,4637.0,420.0,0.0,24.0
50,5.0,8.0,9.0,E1,4980.0,5790.0,810.0,0.0,45.0
51,5.0,9.0,9.0,O1,5835.0,6645.0,810.0,0.0,9.0
52,2.0,10.0,11.0,T1,5764.0,6534.0,770.0,0.0,11.0
53,1.0,7.0,10.0,G1,4953.0,5853.0,900.0,1203.0,30.0
54,8.0,8.0,8.0,F1,5214.0,5774.0,560.0,581.0,32.0
55,3.0,5.0,12.0,R2,4423.0,5263.0,840.0,0.0,36.0
56,6.0,8.0,6.0,A3,4661.0,5021.0,360.0,0.0,42.0
57,3.0,6.0,12.0,L1,5299.0,6139.0,840.0,0.0,72.0
58,8.0,9.0,8.0,R1,5806.0,6446.0,640.0,0.0,16.0
59,6.0,9.0,6.0,M1,5063.0,5243.0,180.0,0.0,36.0
60,5.0,10.0,9.0,N1,6654.0,6834.0,180.0,0.0,27.0
61,8.0,10.0,8.0,O2,6462.0,6862.0,400.0,0.0,16.0
62,4.0,6.0,7.0,D3,3884.0,4234.0,350.0,0.0,21.0
63,7.0,10.0,7.0,P1,4374.0,4654.0,280.0,0.0,28.0
64,5.0,11.0,9.0,K1,6861.0,7041.0,180.0,0.0,54.0
65,7.0,11.0,7.0,R1,6446.0,6936.0,490.0,1764.0,21.0
66,4.0,7.0,7.0,P2,4255.0,4885.0,630.0,0.0,21.0
67,8.0,11.0,8.0,N1,6878.0,7198.0,320.0,0.0,8.0
68,8.0,12.0,8.0,M3,7206.0,7446.0,240.0,0.0,48.0
69,1.0,8.0,10.0,E1,5883.0,6583.0,700.0,0.0,60.0
70,2.0,11.0,11.0,S1,6545.0,6985.0,440.0,0.0,44.0
71,8.0,13.0,8.0,P2,7494.0,7574.0,80.0,0.0,8.0
72,5.0,12.0,9.0,A1,7095.0,7545.0,450.0,0.0,99.0
73,3.0,7.0,12.0,M2,6211.0,7051.0,840.0,0.0,84.0
74,5.0,13.0,9.0,T1,7644.0,7734.0,90.0,0.0,54.0
75,4.0,8.0,7.0,O2,6862.0,7142.0,280.0,1956.0,14.0
76,6.0,10.0,6.0,F1,5774.0,6284.0,510.0,525.0,0.0
77,3.0,8.0,12.0,S1,7135.0,7375.0,240.0,0.0,72.0
78,3.0,9.0,12.0,I3,7447.0,7567.0,120.0,0.0,12.0
79,8.0,14.0,8.0,T1,7734.0,7814.0,80.0,152.0,0.0
80,4.0,9.0,7.0,N1,7198.0,7828.0,630.0,42.0,28.0
81,7.0,12.0,7.0,S1,7375.0,8005.0,630.0,418.0,7.0
82,2.0,12.0,11.0,K1,7041.0,7151.0,110.0,12.0,0.0
83,5.0,14.0,9.0,J1,7788.0,7968.0,180.0,0.0,0.0
84,7.0,13.0,7.0,T1,8012.0,8572.0,560.0,0.0,0.0
85,4.0,10.0,7.0,L1,7856.0,8136.0,280.0,0.0,0.0
86,3.0,10.0,12.0,J1,7968.0,8688.0,720.0,389.0,72.0
87,3.0,11.0,12.0,T1,8760.0,9600.0,840.0,0.0,0.0
88,1.0,9.0,10.0,H2,6643.0,7143.0,500.0,0.0,0.0
