,工件号,工序号,加工批量,机器编号,起始时间,结束时间,加工时间,排队时间,运输时间
0,3.0,1.0,12.0,A1,0.0,120.0,120.0,0.0,48.0
1,5.0,1.0,9.0,B1,0.0,360.0,360.0,0.0,9.0
2,3.0,2.0,12.0,C1,168.0,1008.0,840.0,0.0,60.0
3,4.0,1.0,7.0,A1,120.0,750.0,630.0,120.0,28.0
4,2.0,1.0,11.0,E1,0.0,880.0,880.0,0.0,88.0
5,1.0,1.0,10.0,B1,360.0,960.0,600.0,360.0,40.0
6,1.0,2.0,10.0,L1,1000.0,1700.0,700.0,0.0,50.0
7,3.0,3.0,12.0,E1,1068.0,1788.0,720.0,0.0,48.0
8,4.0,2.0,7.0,C1,1008.0,1078.0,70.0,230.0,7.0
9,1.0,3.0,10.0,M3,1750.0,2650.0,900.0,0.0,10.0
10,3.0,4.0,12.0,G2,1836.0,2676.0,840.0,0.0,48.0
11,3.0,5.0,12.0,R1,2724.0,3564.0,840.0,0.0,48.0
12,4.0,3.0,7.0,B1,1085.0,1155.0,70.0,0.0,7.0
13,4.0,4.0,7.0,G1,1162.0,1792.0,630.0,0.0,14.0
14,2.0,2.0,11.0,D3,968.0,1078.0,110.0,0.0,22.0
15,5.0,2.0,9.0,C1,1078.0,1798.0,720.0,709.0,36.0
16,5.0,3.0,9.0,L2,1834.0,2464.0,630.0,0.0,9.0
17,4.0,5.0,7.0,E2,1806.0,2296.0,490.0,0.0,35.0
18,2.0,3.0,11.0,M1,1100.0,1210.0,110.0,0.0,22.0
19,4.0,6.0,7.0,D1,2331.0,2821.0,490.0,0.0,35.0
20,2.0,4.0,11.0,P1,1232.0,1782.0,550.0,0.0,77.0
21,2.0,5.0,11.0,Q1,1859.0,2189.0,330.0,0.0,44.0
22,5.0,4.0,9.0,P1,2473.0,3013.0,540.0,0.0,9.0
23,3.0,6.0,12.0,L1,3612.0,4452.0,840.0,0.0,60.0
24,3.0,7.0,12.0,M3,4512.0,4992.0,480.0,0.0,72.0
25,2.0,6.0,11.0,R2,2233.0,3113.0,880.0,0.0,33.0
26,5.0,5.0,9.0,S1,3022.0,3202.0,180.0,0.0,27.0
27,5.0,6.0,9.0,H2,3229.0,3679.0,450.0,0.0,18.0
28,2.0,7.0,11.0,G2,3146.0,3696.0,550.0,0.0,22.0
29,2.0,8.0,11.0,F1,3718.0,4598.0,880.0,0.0,22.0
30,2.0,9.0,11.0,I2,4620.0,5060.0,440.0,0.0,88.0
31,1.0,4.0,10.0,N1,2660.0,3160.0,500.0,0.0,60.0
32,4.0,7.0,7.0,P2,2856.0,3486.0,630.0,0.0,14.0
33,3.0,8.0,12.0,S1,5064.0,5304.0,240.0,0.0,84.0
34,4.0,8.0,7.0,O3,3500.0,4060.0,560.0,0.0,21.0
35,1.0,5.0,10.0,D1,3220.0,3320.0,100.0,0.0,50.0
36,1.0,6.0,10.0,P2,3486.0,4286.0,800.0,116.0,50.0
37,5.0,7.0,9.0,G2,3697.0,4327.0,630.0,0.0,36.0
38,1.0,7.0,10.0,G2,4336.0,4936.0,600.0,0.0,40.0
39,5.0,8.0,9.0,E1,4363.0,5173.0,810.0,0.0,45.0
40,4.0,9.0,7.0,N1,4081.0,4711.0,630.0,0.0,28.0
41,2.0,10.0,11.0,T1,5148.0,5918.0,770.0,0.0,11.0
42,5.0,9.0,9.0,O1,5218.0,6028.0,810.0,0.0,9.0
43,2.0,11.0,11.0,S1,5929.0,6369.0,440.0,0.0,44.0
44,5.0,10.0,9.0,N1,6037.0,6217.0,180.0,0.0,27.0
45,3.0,9.0,12.0,I2,5388.0,6108.0,720.0,0.0,24.0
46,5.0,11.0,9.0,K1,6244.0,6424.0,180.0,0.0,36.0
47,5.0,12.0,9.0,A3,6490.0,6940.0,450.0,30.0,81.0
48,5.0,13.0,9.0,T1,7021.0,7111.0,90.0,0.0,54.0
49,2.0,12.0,11.0,K1,6424.0,6534.0,110.0,11.0,0.0
50,4.0,10.0,7.0,L1,4739.0,5019.0,280.0,0.0,0.0
51,3.0,10.0,12.0,J1,6132.0,6852.0,720.0,0.0,72.0
52,3.0,11.0,12.0,T1,7111.0,7951.0,840.0,187.0,0.0
53,1.0,8.0,10.0,E1,5173.0,5873.0,700.0,197.0,50.0
54,1.0,9.0,10.0,H1,5923.0,6623.0,700.0,0.0,0.0
55,5.0,14.0,9.0,J1,7165.0,7345.0,180.0,0.0,0.0
